species	gene	accession	length_aa	description
Apis_dorsata	LOC102676359	XP_031370997.1	744	XP_031370997.1 nose resistant to fluoxetine protein 6-like [Apis dorsata]
Apis_dorsata	LOC102676360	XP_031371069.1	150	XP_031371069.1 coiled-coil domain-containing protein 113 [Apis dorsata]
Apis_dorsata	LOC102676362	XP_031371305.1	854	XP_031371305.1 uncharacterized protein LOC102676362 [Apis dorsata]
Apis_dorsata	LOC102676363	XP_031363965.1	257	XP_031363965.1 farnesol dehydrogenase-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676364	XP_006611807.1	703	XP_006611807.1 ATP-binding cassette sub-family G member 1 [Apis dorsata]
Apis_dorsata	LOC102676365	XP_031364464.1	1593	XP_031364464.1 signal-induced proliferation-associated 1-like protein 2 [Apis dorsata]
Apis_dorsata	LOC102676367	XP_006613246.2	75	XP_006613246.2 60S ribosomal protein L38 [Apis dorsata]
Apis_dorsata	LOC102676368	XP_031365232.1	480	XP_031365232.1 proton-coupled amino acid transporter-like protein CG1139 [Apis dorsata]
Apis_dorsata	LOC102676371	XP_031365642.1	259	XP_031365642.1 uncharacterized protein LOC102676371 [Apis dorsata]
Apis_dorsata	LOC102676372	XP_006614409.1	787	XP_006614409.1 integrin beta-nu-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676373	XP_006614497.1	275	XP_006614497.1 tetraspanin-3-like [Apis dorsata]
Apis_dorsata	LOC102676374	XP_006615696.1	455	XP_006615696.1 GATA zinc finger domain-containing protein 8-like [Apis dorsata]
Apis_dorsata	LOC102676375	XP_006615880.1	190	XP_006615880.1 uncharacterized protein LOC102676375 [Apis dorsata]
Apis_dorsata	LOC102676376	XP_006615966.1	582	XP_006615966.1 coronin-2B-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676377	XP_006616662.1	287	XP_006616662.1 thioredoxin-like protein 1 [Apis dorsata]
Apis_dorsata	LOC102676379	XP_006617097.1	429	XP_006617097.1 cytochrome c oxidase assembly protein COX15 homolog isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676380	XP_006617691.1	1310	XP_006617691.1 putative elongator complex protein 1 [Apis dorsata]
Apis_dorsata	LOC102676381	XP_031367492.1	4864	XP_031367492.1 LOW QUALITY PROTEIN: cadherin-related tumor suppressor-like [Apis dorsata]
Apis_dorsata	LOC102676382	XP_006618316.1	807	XP_006618316.1 spermatogenesis-associated protein 20 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676383	XP_006619009.1	285	XP_006619009.1 general transcription factor IIE subunit 2 [Apis dorsata]
Apis_dorsata	LOC102676384	XP_006619098.2	480	XP_006619098.2 cytoplasmic dynein 1 light intermediate chain 2 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676385	XP_006619359.1	479	XP_006619359.1 protein maelstrom 2-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676386	XP_006619991.1	4662	XP_006619991.1 dynein heavy chain 5, axonemal isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676387	XP_006620510.1	535	XP_006620510.1 apoptosis inhibitor 5 [Apis dorsata]
Apis_dorsata	LOC102676388	XP_006621128.1	446	XP_006621128.1 uncharacterized protein LOC102676388 [Apis dorsata]
Apis_dorsata	LOC102676389	XP_006621679.1	293	XP_006621679.1 glycine N-methyltransferase [Apis dorsata]
Apis_dorsata	LOC102676390	XP_006621772.1	1477	XP_006621772.1 CLIP-associating protein 1-A isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676391	XP_031369392.1	682	XP_031369392.1 ADP-ribosylation factor-binding protein GGA1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676392	XP_006622790.1	1058	XP_006622790.1 uncharacterized protein LOC102676392 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676393	XP_006623425.1	452	XP_006623425.1 FERM domain-containing protein 8 [Apis dorsata]
Apis_dorsata	LOC102676394	XP_006623783.1	340	XP_006623783.1 succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676395	XP_006623962.1	388	XP_006623962.1 paired box pox-neuro protein [Apis dorsata]
Apis_dorsata	LOC102676396	XP_006624874.1	321	XP_006624874.1 E3 ubiquitin-protein ligase NRDP1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676397	XP_006625220.1	286	XP_006625220.1 serine-protein kinase ATM-like [Apis dorsata]
Apis_dorsata	LOC102676398	XP_006607803.1	343	XP_006607803.1 L-galactose dehydrogenase-like [Apis dorsata]
Apis_dorsata	LOC102676399	XP_006607974.2	653	XP_006607974.2 esterase E4-like [Apis dorsata]
Apis_dorsata	LOC102676401	XP_006608691.1	423	XP_006608691.1 eukaryotic initiation factor 4A-I [Apis dorsata]
Apis_dorsata	LOC102676402	XP_006608774.1	1291	XP_006608774.1 probable multidrug resistance-associated protein lethal(2)03659 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676403	XP_006608947.1	871	XP_006608947.1 type II inositol 1,4,5-trisphosphate 5-phosphatase isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676404	XP_006609392.1	578	XP_006609392.1 uncharacterized protein LOC102676404 [Apis dorsata]
Apis_dorsata	LOC102676405	XP_006609784.1	402	XP_006609784.1 LIM homeobox transcription factor 1-beta isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676407	XP_006611005.1	1043	XP_006611005.1 prominin-like protein isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676409	XP_006611441.1	2588	XP_006611441.1 probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676410	XP_006612076.1	427	XP_006612076.1 DNA-directed RNA polymerases I and III subunit RPAC1-like isoform X2 [Apis dorsata]
Apis_dorsata	LOC102676412	XP_006612520.1	224	XP_006612520.1 uncharacterized protein LOC102676412 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676413	XP_006612595.1	432	XP_006612595.1 Golgi reassembly-stacking protein 2 [Apis dorsata]
Apis_dorsata	LOC102676414	XP_006612877.1	227	XP_006612877.1 uncharacterized protein LOC102676414 [Apis dorsata]
Apis_dorsata	LOC102676416	XP_006613328.1	789	XP_006613328.1 rabphilin-1-like [Apis dorsata]
Apis_dorsata	LOC102676417	XP_006614741.1	1501	XP_006614741.1 uncharacterized protein LOC102676417 [Apis dorsata]
Apis_dorsata	LOC102676419	XP_006615418.1	511	XP_006615418.1 F-box/LRR-repeat protein 16 [Apis dorsata]
Apis_dorsata	LOC102676420	XP_006615504.1	2374	XP_006615504.1 pre-mRNA-processing-splicing factor 8 [Apis dorsata]
Apis_dorsata	LOC102676421	XP_006616150.1	104	XP_006616150.1 ejaculatory bulb-specific protein 3-like [Apis dorsata]
Apis_dorsata	LOC102676422	XP_006616407.1	159	XP_006616407.1 magnesium-dependent phosphatase 1-like [Apis dorsata]
Apis_dorsata	LOC102676424	XP_031367135.1	1183	XP_031367135.1 calcium-activated potassium channel slowpoke isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676427	XP_006617962.1	386	XP_006617962.1 beta-1,3-galactosyltransferase 1-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676428	XP_006618228.1	107	XP_006618228.1 uncharacterized protein LOC102676428 [Apis dorsata]
Apis_dorsata	LOC102676429	XP_006618409.1	303	XP_006618409.1 non-structural maintenance of chromosome element 4 [Apis dorsata]
Apis_dorsata	LOC102676430	XP_031367725.1	1230	XP_031367725.1 WD repeat-containing and planar cell polarity effector protein fritz isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676431	XP_006618667.1	193	XP_006618667.1 adenylate kinase isoenzyme 1 [Apis dorsata]
Apis_dorsata	LOC102676434	XP_006619269.2	415	XP_006619269.2 60S ribosomal protein L3 [Apis dorsata]
Apis_dorsata	LOC102676435	XP_006619635.1	168	XP_006619635.1 actin-related protein 2/3 complex subunit 4 [Apis dorsata]
Apis_dorsata	LOC102676437	XP_006621386.1	1067	XP_006621386.1 phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform isoform X3 [Apis dorsata]
Apis_dorsata	LOC102676438	XP_006621587.1	860	XP_006621587.1 GATOR complex protein MIOS-B isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676441	XP_031369835.1	1287	XP_031369835.1 uncharacterized protein PF11_0213-like [Apis dorsata]
Apis_dorsata	LOC102676442	XP_006624062.1	386	XP_006624062.1 glucose-fructose oxidoreductase domain-containing protein 1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676443	XP_031370290.1	309	XP_031370290.1 guanine nucleotide-binding protein G(s) subunit alpha [Apis dorsata]
Apis_dorsata	LOC102676444	XP_006624599.1	303	XP_006624599.1 NIF3-like protein 1 [Apis dorsata]
Apis_dorsata	LOC102676445	XP_006624696.1	370	XP_006624696.1 dnaJ homolog subfamily B member 13-like [Apis dorsata]
Apis_dorsata	LOC102676446	XP_031370667.1	451	XP_031370667.1 netrin-1-like [Apis dorsata]
Apis_dorsata	LOC102676447	XP_006607168.1	529	XP_006607168.1 ATPase WRNIP1-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676448	XP_006607540.1	190	XP_006607540.1 uncharacterized protein LOC102676448 [Apis dorsata]
Apis_dorsata	LOC102676449	XP_006607887.2	1232	XP_006607887.2 tonsoku-like protein, partial [Apis dorsata]
Apis_dorsata	LOC102676450	XP_006608240.1	194	XP_006608240.1 uncharacterized protein LOC102676450 [Apis dorsata]
Apis_dorsata	LOC102676451	XP_006608327.2	536	XP_006608327.2 LOW QUALITY PROTEIN: uncharacterized protein LOC102676451, partial [Apis dorsata]
Apis_dorsata	LOC102676454	XP_006610048.1	201	XP_006610048.1 uncharacterized protein LOC102676454 [Apis dorsata]
Apis_dorsata	LOC102676457	XP_006611983.1	214	XP_006611983.1 activator of basal transcription 1-like [Apis dorsata]
Apis_dorsata	LOC102676458	XP_031364681.1	451	XP_031364681.1 uncharacterized protein LOC102676458 [Apis dorsata]
Apis_dorsata	LOC102676459	XP_006612689.1	658	XP_006612689.1 modular serine protease-like [Apis dorsata]
Apis_dorsata	LOC102676460	XP_031365336.1	422	XP_031365336.1 uncharacterized protein LOC102676460 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676461	XP_006613742.1	2760	XP_006613742.1 protein unc-79 homolog isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676463	XP_031365521.1	661	XP_031365521.1 kelch-like protein 10 [Apis dorsata]
Apis_dorsata	LOC102676464	XP_031365527.1	562	XP_031365527.1 protein apterous-like [Apis dorsata]
Apis_dorsata	LOC102676465	XP_031365998.1	229	XP_031365998.1 uncharacterized protein LOC102676465 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676466	XP_006615162.1	837	XP_006615162.1 pre-mRNA-processing factor 40 homolog A [Apis dorsata]
Apis_dorsata	LOC102676467	XP_006615243.1	423	XP_006615243.1 uncharacterized protein LOC102676467 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676468	XP_006615604.1	337	XP_006615604.1 prostaglandin reductase 1-like [Apis dorsata]
Apis_dorsata	LOC102676469	XP_006616057.1	358	XP_006616057.1 activating transcription factor of chaperone isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676470	XP_006617012.1	941	XP_006617012.1 uncharacterized protein LOC102676470 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676471	XP_006617514.1	1228	XP_006617514.1 zinc finger protein 62-like [Apis dorsata]
Apis_dorsata	LOC102676472	XP_006618048.1	1195	XP_006618048.1 uncharacterized protein LOC102676472 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676473	XP_006618758.1	152	XP_006618758.1 sex-regulated protein janus-A-like [Apis dorsata]
Apis_dorsata	LOC102676474	XP_006619195.1	449	XP_006619195.1 zinc finger protein 836-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676475	XP_006619718.1	744	XP_006619718.1 mitogen-activated protein kinase 15-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676476	XP_006619806.1	2272	XP_006619806.1 kinase D-interacting substrate of 220 kDa B isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676477	XP_006620081.1	233	XP_006620081.1 uncharacterized protein LOC102676477 [Apis dorsata]
Apis_dorsata	LOC102676478	XP_006620698.1	193	XP_006620698.1 uncharacterized protein LOC102676478 [Apis dorsata]
Apis_dorsata	LOC102676479	XP_006620787.1	309	XP_006620787.1 rRNA 2'-O-methyltransferase fibrillarin isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676480	XP_006620877.1	509	XP_006620877.1 protein LSM14 homolog A isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676481	XP_006620953.2	302	XP_006620953.2 TATA box-binding protein-like protein 1 [Apis dorsata]
Apis_dorsata	LOC102676482	XP_031368992.1	679	XP_031368992.1 fasciclin-1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676483	XP_031369311.1	994	XP_031369311.1 uncharacterized protein LOC102676483 [Apis dorsata]
Apis_dorsata	LOC102676484	XP_006622320.1	375	XP_006622320.1 peptidyl-prolyl cis-trans isomerase D isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676485	XP_006623606.1	678	XP_006623606.1 glycerate kinase-like [Apis dorsata]
Apis_dorsata	LOC102676486	XP_006624153.1	1002	XP_006624153.1 E3 ubiquitin-protein ligase MARCH6 [Apis dorsata]
Apis_dorsata	LOC102676487	XP_006624784.1	281	XP_006624784.1 pyrroline-5-carboxylate reductase isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676488	XP_006624962.1	527	XP_006624962.1 cytochrome P450 302a1, mitochondrial [Apis dorsata]
Apis_dorsata	LOC102676490	XP_006607442.1	519	XP_006607442.1 potassium channel subfamily K member 18-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676492	XP_006608416.1	709	XP_006608416.1 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676494	XP_031370890.1	395	XP_031370890.1 uncharacterized protein LOC102676494 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676495	XP_006609306.2	325	XP_006609306.2 hydroxymethylglutaryl-CoA lyase, mitochondrial [Apis dorsata]
Apis_dorsata	LOC102676496	XP_006609461.1	326	XP_006609461.1 RNA-binding protein 42 [Apis dorsata]
Apis_dorsata	LOC102676497	XP_006609549.1	1322	XP_006609549.1 furin-like protease 2 [Apis dorsata]
Apis_dorsata	LOC102676498	XP_031371066.1	1224	XP_031371066.1 uncharacterized protein LOC102676498 [Apis dorsata]
Apis_dorsata	LOC102676499	XP_031371149.1	368	XP_031371149.1 uncharacterized protein LOC102676499 [Apis dorsata]
Apis_dorsata	LOC102676500	XP_031371306.1	1859	XP_031371306.1 cadherin-89D [Apis dorsata]
Apis_dorsata	LOC102676501	XP_006610321.1	269	XP_006610321.1 ras-related protein Rab-3 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676503	XP_006610486.1	647	XP_006610486.1 sodium-dependent dopamine transporter isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676504	XP_031363967.1	3654	XP_031363967.1 golgin subfamily B member 1-like [Apis dorsata]
Apis_dorsata	LOC102676505	XP_006610921.2	224	XP_006610921.2 MOB kinase activator 1B isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676506	XP_006611533.1	230	XP_006611533.1 B-cell receptor-associated protein 31-like [Apis dorsata]
Apis_dorsata	LOC102676507	XP_031364508.1	169	XP_031364508.1 leucine repeat adapter protein 25-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676508	XP_031364885.1	1246	XP_031364885.1 uncharacterized protein LOC102676508 isoform X2 [Apis dorsata]
Apis_dorsata	LOC102676509	XP_006612969.1	73	XP_006612969.1 S-adenosylmethionine decarboxylase proenzyme-like [Apis dorsata]
Apis_dorsata	LOC102676510	XP_006613247.1	459	XP_006613247.1 facilitated trehalose transporter Tret1-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676513	XP_031366597.1	759	XP_031366597.1 uncharacterized protein LOC102676513 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676514	XP_006616487.1	276	XP_006616487.1 calmodulin-beta-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676515	XP_006616663.1	447	XP_006616663.1 multiple inositol polyphosphate phosphatase 1-like [Apis dorsata]
Apis_dorsata	LOC102676516	XP_006617262.1	298	XP_006617262.1 protein giant-lens [Apis dorsata]
Apis_dorsata	LOC102676517	XP_006617692.1	299	XP_006617692.1 vacuolar protein sorting-associated protein 26C [Apis dorsata]
Apis_dorsata	LOC102676518	XP_006617866.1	155	XP_006617866.1 uncharacterized protein LOC102676518 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676519	XP_006618148.1	123	XP_006618148.1 integrin alpha-9-like [Apis dorsata]
Apis_dorsata	LOC102676520	XP_031367694.1	1041	XP_031367694.1 protein AF-10 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676522	XP_031368106.1	1947	XP_031368106.1 chromodomain-helicase-DNA-binding protein Mi-2 homolog [Apis dorsata]
Apis_dorsata	LOC102676523	XP_006620511.1	333	XP_006620511.1 electron transfer flavoprotein subunit alpha, mitochondrial [Apis dorsata]
Apis_dorsata	LOC102676524	XP_031369029.1	410	XP_031369029.1 LOW QUALITY PROTEIN: arrestin homolog [Apis dorsata]
Apis_dorsata	LOC102676525	XP_006621680.1	77	XP_006621680.1 zinc finger protein 706-like [Apis dorsata]
Apis_dorsata	LOC102676526	XP_006622051.2	1177	XP_006622051.2 uncharacterized protein LOC102676526 [Apis dorsata]
Apis_dorsata	LOC102676529	XP_031369716.1	967	XP_031369716.1 beta-alanine-activating enzyme [Apis dorsata]
Apis_dorsata	LOC102676530	XP_031369787.1	523	XP_031369787.1 UDP-glucuronosyltransferase 2C1-like [Apis dorsata]
Apis_dorsata	LOC102676531	XP_006623339.2	364	XP_006623339.2 uncharacterized protein LOC102676531 [Apis dorsata]
Apis_dorsata	LOC102676532	XP_006623427.1	153	XP_006623427.1 dynein regulatory complex subunit 7-like [Apis dorsata]
Apis_dorsata	LOC102676533	XP_006623510.1	593	XP_006623510.1 uncharacterized protein LOC102676533 isoform X2 [Apis dorsata]
Apis_dorsata	LOC102676534	XP_006623691.1	219	XP_006623691.1 60S ribosomal protein L10 [Apis dorsata]
Apis_dorsata	LOC102676535	XP_006623963.2	534	XP_006623963.2 RNA polymerase II-associated protein 3 [Apis dorsata]
Apis_dorsata	LOC102676536	XP_006624342.1	602	XP_006624342.1 cationic amino acid transporter 3 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676539	XP_006609031.1	276	XP_006609031.1 BLOC-1-related complex subunit 6 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676541	XP_006609630.2	320	XP_006609630.2 fez family zinc finger protein erm-like [Apis dorsata]
Apis_dorsata	LOC102676542	XP_031371266.1	348	XP_031371266.1 uncharacterized protein LOC102676542 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676543	XP_006610567.1	444	XP_006610567.1 ATP-dependent RNA helicase me31b [Apis dorsata]
Apis_dorsata	LOC102676544	XP_006611100.1	640	XP_006611100.1 carotenoid isomerooxygenase isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676546	XP_006612429.1	239	XP_006612429.1 ubiquitin-conjugating enzyme E2 R2 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676547	XP_006612596.2	424	XP_006612596.2 probable kinetochore protein nuf2 [Apis dorsata]
Apis_dorsata	LOC102676548	XP_006612878.1	384	XP_006612878.1 protein phosphatase methylesterase 1 [Apis dorsata]
Apis_dorsata	LOC102676550	XP_006613329.1	1197	XP_006613329.1 probable phosphorylase b kinase regulatory subunit alpha isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676551	XP_031365429.1	1210	XP_031365429.1 toll-like receptor 6 [Apis dorsata]
Apis_dorsata	LOC102676555	XP_006615419.1	203	XP_006615419.1 DNA-directed RNA polymerase III subunit RPC8 [Apis dorsata]
Apis_dorsata	LOC102676556	XP_031366240.1	216	XP_031366240.1 sesquipedalian-1-like [Apis dorsata]
Apis_dorsata	LOC102676557	XP_031366337.1	639	XP_031366337.1 synaptotagmin-3 [Apis dorsata]
Apis_dorsata	LOC102676558	XP_006616151.1	125	XP_006616151.1 ejaculatory bulb-specific protein 3-like [Apis dorsata]
Apis_dorsata	LOC102676560	XP_031366624.1	228	XP_031366624.1 polyadenylate-binding protein 2-B [Apis dorsata]
Apis_dorsata	LOC102676561	XP_006617429.1	175	XP_006617429.1 uncharacterized protein LOC102676561 [Apis dorsata]
Apis_dorsata	LOC102676562	XP_006617598.1	576	XP_006617598.1 poly(A)-specific ribonuclease PARN-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676563	XP_006618229.1	246	XP_006618229.1 uncharacterized protein LOC102676563 [Apis dorsata]
Apis_dorsata	LOC102676564	XP_006618410.1	516	XP_006618410.1 ATP synthase subunit beta, mitochondrial [Apis dorsata]
Apis_dorsata	LOC102676565	XP_006618578.2	398	XP_006618578.2 uncharacterized protein LOC102676565 [Apis dorsata]
Apis_dorsata	LOC102676566	XP_031367827.1	323	XP_031367827.1 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like [Apis dorsata]
Apis_dorsata	LOC102676567	XP_031368069.1	133	XP_031368069.1 LIRP-like isoform X2 [Apis dorsata]
Apis_dorsata	LOC102676568	XP_006619637.1	621	XP_006619637.1 nuclear pore complex protein DDB_G0274915-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676569	XP_006619905.1	1154	XP_006619905.1 lethal(2) giant larvae protein homolog 1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676570	XP_031368925.1	1767	XP_031368925.1 uncharacterized protein LOC102676570 [Apis dorsata]
Apis_dorsata	LOC102676571	XP_006621129.1	353	XP_006621129.1 protein tipE isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676572	XP_006622513.1	247	XP_006622513.1 protein bric-a-brac 1-like [Apis dorsata]
Apis_dorsata	LOC102676574	XP_006623247.1	481	XP_006623247.1 thymic stromal cotransporter homolog isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676575	XP_006624256.2	510	XP_006624256.2 malonyl-CoA decarboxylase, mitochondrial-like [Apis dorsata]
Apis_dorsata	LOC102676576	XP_006624425.1	260	XP_006624425.1 structure-specific endonuclease subunit slx1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676577	XP_006624600.1	275	XP_006624600.1 lachesin-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676578	XP_031370503.1	190	XP_031370503.1 uncharacterized protein LOC102676578 [Apis dorsata]
Apis_dorsata	LOC102676580	XP_031368697.1	71	XP_031368697.1 cytochrome c oxidase subunit 7C, mitochondrial [Apis dorsata]
Apis_dorsata	LOC102676581	XP_006607541.1	896	XP_006607541.1 LOW QUALITY PROTEIN: protein Red-like [Apis dorsata]
Apis_dorsata	LOC102676582	XP_006607634.1	400	XP_006607634.1 dual specificity protein phosphatase Mpk3 [Apis dorsata]
Apis_dorsata	LOC102676583	XP_006607720.1	850	XP_006607720.1 uncharacterized protein LOC102676583 [Apis dorsata]
Apis_dorsata	LOC102676584	XP_006607888.1	1185	XP_006607888.1 WD repeat-containing protein 35 [Apis dorsata]
Apis_dorsata	LOC102676585	XP_006608241.1	833	XP_006608241.1 origin recognition complex subunit 1 [Apis dorsata]
Apis_dorsata	LOC102676587	XP_031371213.1	271	XP_031371213.1 uncharacterized protein LOC102676587 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676588	XP_031371338.1	506	XP_031371338.1 beta-1,4-glucuronyltransferase 1 [Apis dorsata]
Apis_dorsata	LOC102676589	XP_006611984.1	2489	XP_006611984.1 uncharacterized protein LOC102676589 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676590	XP_031364686.1	162	XP_031364686.1 carbonic anhydrase 2-like [Apis dorsata]
Apis_dorsata	LOC102676591	XP_031364863.1	1653	XP_031364863.1 phospholipid-transporting ATPase ID isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676592	XP_006613147.1	699	XP_006613147.1 head-specific guanylate cyclase [Apis dorsata]
Apis_dorsata	LOC102676593	XP_006613508.1	740	XP_006613508.1 glycine--tRNA ligase [Apis dorsata]
Apis_dorsata	LOC102676594	XP_006613662.1	534	XP_006613662.1 acetylcholine receptor subunit beta-like 2 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676595	XP_006614072.1	376	XP_006614072.1 mitochondrial basic amino acids transporter-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676596	XP_006614161.1	283	XP_006614161.1 LIM/homeobox protein Lhx2-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676597	XP_006614411.1	501	XP_006614411.1 dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676598	XP_006614498.1	149	XP_006614498.1 protein FAM177A1 [Apis dorsata]
Apis_dorsata	LOC102676599	XP_006614814.1	425	XP_006614814.1 putative gustatory receptor 28b [Apis dorsata]
Apis_dorsata	LOC102676600	XP_006615068.1	449	XP_006615068.1 synaptotagmin-2-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676601	XP_006615330.1	551	XP_006615330.1 nudC domain-containing protein 1 [Apis dorsata]
Apis_dorsata	LOC102676602	XP_006615605.1	2091	XP_006615605.1 HEAT repeat-containing protein 5B isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676603	XP_006616923.1	269	XP_006616923.1 activating transcription factor 3 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676604	XP_006617099.1	623	XP_006617099.1 xaa-Pro aminopeptidase ApepP-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676606	XP_006617515.1	301	XP_006617515.1 ras-related protein Rab-37 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676607	XP_006618318.1	223	XP_006618318.1 uncharacterized protein LOC102676607 [Apis dorsata]
Apis_dorsata	LOC102676608	XP_006618759.1	223	XP_006618759.1 high affinity copper uptake protein 1 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676609	XP_006619100.1	461	XP_006619100.1 E3 ubiquitin-protein ligase MIB1-like isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676610	XP_006619196.1	193	XP_006619196.1 cilia- and flagella-associated protein 20 [Apis dorsata]
Apis_dorsata	LOC102676611	XP_031368727.1	862	XP_031368727.1 ataxin-2-like protein isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676612	XP_006620954.1	286	XP_006620954.1 serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform [Apis dorsata]
Apis_dorsata	LOC102676613	XP_006621961.1	321	XP_006621961.1 mitochondrial import receptor subunit TOM40 homolog 1-like [Apis dorsata]
Apis_dorsata	LOC102676614	XP_006622145.1	477	XP_006622145.1 protein adenylyltransferase Fic [Apis dorsata]
Apis_dorsata	LOC102676615	XP_006622689.1	755	XP_006622689.1 LOW QUALITY PROTEIN: leucine-rich repeat and calponin homology domain-containing protein [Apis dorsata]
Apis_dorsata	LOC102676616	XP_006623607.1	439	XP_006623607.1 ribosome biogenesis protein NOP53 [Apis dorsata]
Apis_dorsata	LOC102676617	XP_006623785.1	630	XP_006623785.1 uncharacterized protein LOC102676617 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676618	XP_006624154.1	781	XP_006624154.1 DIS3-like exonuclease 2 isoform X1 [Apis dorsata]
Apis_dorsata	LOC102676619	XP_006624876.1	3666	XP_006624876.1 laminin subunit alpha [Apis dorsata]
Apis_dorsata	LOC102676620	XP_006624963.1	434	XP_006624963.1 26S proteasome regulatory subunit 7 [Apis dorsata]
