eastern_original_scaffold	eastern_accession	eastern_probe_min_position	eastern_probe_max_position	refseq_gene_parent	refseq_gene_name	refseq_scaffold	refseq_start	refseq_end	strand	product	exact_probe_hits	total_probes	probe_fraction	refseq_sodium_related_go_terms	refseq_sodium_go_match	sodium_or_ion_keyword
scaffold_25	GWHAOTM00000025	1095659	1097703	gene-LOC122718975	LOC122718975	NW_025224135.1	2184943	2187993	-	tetratricopeptide repeat protein 8, transcript variant X1	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	1803963	1808534	gene-LOC122718729	LOC122718729	NW_025224135.1	1475310	1480345	-	uncharacterized protein MAL8P1.12	9	10	0.900000		False	False
scaffold_25	GWHAOTM00000025	2346362	2353898	gene-LOC122718666	LOC122718666	NW_025224135.1	930385	938342	+	xaa-Pro dipeptidase	9	9	1.000000		False	False
scaffold_25	GWHAOTM00000025	2330931	2339224	gene-LOC122718849	LOC122718849	NW_025224135.1	944439	954892	+	C-Maf-inducing protein-like, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	780868	783244	gene-LOC122719005	LOC122719005	NW_025224135.1	2499907	2502982	+	DET1 homolog	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	1607030	1608878	gene-LOC122718764	LOC122718764	NW_025224135.1	1672610	1675851	-	WD repeat-containing protein 74	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	1956414	1959597	gene-LOC122719001	LOC122719001	NW_025224135.1	1324141	1331139	+	apoptotic chromatin condensation inducer in the nucleus, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	2484324	2488701	gene-LOC122718767	LOC122718767	NW_025224135.1	795415	800132	+	claspin-like	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	2226876	2231171	gene-LOC122718684	LOC122718684	NW_025224135.1	1052822	1058205	+	innexin inx7-like, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	2012855	2023578	gene-LOC122718924	LOC122718924	NW_025224135.1	1260602	1271985	-	large neutral amino acids transporter small subunit 2, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	2272458	2274028	gene-LOC122718687	LOC122718687	NW_025224135.1	1010348	1012589	-	presenilins-associated rhomboid-like protein, mitochondrial, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	2547569	2549878	gene-LOC122718940	LOC122718940	NW_025224135.1	734384	736998	-	putative aldehyde dehydrogenase family 7 member A1 homolog	8	9	0.888889		False	False
scaffold_25	GWHAOTM00000025	494012	496775	gene-LOC122718981	LOC122718981	NW_025224135.1	2777959	2785010	+	putative fatty acyl-CoA reductase CG5065	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	464682	466947	gene-LOC122718770	LOC122718770	NW_025224135.1	2811580	2814091	-	putative glucosylceramidase 4, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	763626	768073	gene-LOC122718957	LOC122718957	NW_025224135.1	2515431	2520976	+	sorbitol dehydrogenase-like	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	1983685	1987001	gene-LOC122718917	LOC122718917	NW_025224135.1	1297292	1301068	-	uncharacterized LOC122718917, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	1733083	1738196	gene-LOC122718952	LOC122718952	NW_025224135.1	1545288	1553503	-	zinc finger MYND domain-containing protein 11, transcript variant X1	8	8	1.000000		False	False
scaffold_25	GWHAOTM00000025	845955	848196	gene-LOC122718993	LOC122718993	NW_025224135.1	2434088	2438452	-	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial, transcript variant X1	7	7	1.000000		False	False
scaffold_25	GWHAOTM00000025	2061010	2063466	gene-LOC122718928	LOC122718928	NW_025224135.1	1220726	1223712	+	graves disease carrier protein homolog	7	7	1.000000		False	False
scaffold_25	GWHAOTM00000025	506950	507955	gene-LOC122718833	LOC122718833	NW_025224135.1	2770288	2771846	+	transcription initiation factor TFIID subunit 11, transcript variant X1	7	7	1.000000		False	False
scaffold_25	GWHAOTM00000025	1598854	1605181	gene-LOC122718870	LOC122718870	NW_025224135.1	1677500	1685683	-	trypsin 3A1-like	7	7	1.000000		False	False
scaffold_25	GWHAOTM00000025	2027431	2032233	gene-LOC122718934	LOC122718934	NW_025224135.1	1251346	1257428	+	ubiquitin-conjugating enzyme E2Q-like protein CG4502	7	7	1.000000		False	False
scaffold_25	GWHAOTM00000025	797601	800784	gene-LOC122718750	LOC122718750	NW_025224135.1	2482508	2486196	+	uncharacterized LOC122718750, transcript variant X1	7	7	1.000000		False	False
scaffold_25	GWHAOTM00000025	912092	920915	gene-LOC122718762	LOC122718762	NW_025224135.1	2361668	2370781	-	uncharacterized LOC122718762	7	10	0.700000		False	False
scaffold_25	GWHAOTM00000025	1822818	1824439	gene-LOC122718768	LOC122718768	NW_025224135.1	1459482	1461814	-	caspase-8	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	901412	903699	gene-LOC122718873	LOC122718873	NW_025224135.1	2378966	2381369	+	dynein regulatory complex protein 10-like	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	2555731	2569806	gene-LOC122718941	LOC122718941	NW_025224135.1	712787	732448	-	lissencephaly-1 homolog, transcript variant X1	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	460821	463110	gene-LOC122718884	LOC122718884	NW_025224135.1	2815354	2847690	-	lysosomal acid glucosylceramidase-like, transcript variant X1	6	7	0.857143		False	False
scaffold_25	GWHAOTM00000025	2103488	2108801	gene-LOC122718701	LOC122718701	NW_025224135.1	1163715	1182426	+	nuclear hormone receptor FTZ-F1 beta, transcript variant X1	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	1784128	1787622	gene-LOC122718839	LOC122718839	NW_025224135.1	1496254	1499994	+	partner of bursicon	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	1715490	1717664	gene-LOC122719002	LOC122719002	NW_025224135.1	1565807	1568575	-	polypeptide N-acetylgalactosaminyltransferase 35A-like	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	1098480	1099722	gene-LOC122718967	LOC122718967	NW_025224135.1	2182334	2184425	+	protein YIPF6	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	2052835	2055321	gene-LOC122718929	LOC122718929	NW_025224135.1	1228853	1231904	-	serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	2263290	2265350	gene-LOC122718667	LOC122718667	NW_025224135.1	1018948	1021415	+	uncharacterized LOC122718667	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	1571748	1594665	gene-LOC122718793	LOC122718793	NW_025224135.1	1687042	1711100	-	uncharacterized LOC122718793	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	2003755	2006424	gene-LOC122718919	LOC122718919	NW_025224135.1	1277329	1293293	-	vasorin	6	6	1.000000		False	False
scaffold_25	GWHAOTM00000025	2064169	2065524	gene-LOC122718932	LOC122718932	NW_025224135.1	1218851	1220570	+	39S ribosomal protein L15, mitochondrial	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1565430	1566678	gene-LOC122718697	LOC122718697	NW_025224135.1	1715888	1717825	-	60S ribosomal protein L7a	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1560482	1563050	gene-LOC122718696	LOC122718696	NW_025224135.1	1718370	1722802	+	UDP-glucose 6-dehydrogenase, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	2066630	2068764	gene-LOC122718927	LOC122718927	NW_025224135.1	1215574	1218029	-	guanine nucleotide-binding protein subunit beta-like protein	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	471498	473418	gene-LOC122718780	LOC122718780	NW_025224135.1	2804765	2807365	-	guanine nucleotide-binding protein-like 1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	2177265	2190608	gene-LOC122718674	LOC122718674	NW_025224135.1	1093522	1108714	+	innexin shaking-B-like, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	819381	825507	gene-LOC122718641	LOC122718641	NW_025224135.1	2456056	2465282	+	mucin-1, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1818821	1820298	gene-LOC122718809	LOC122718809	NW_025224135.1	1462604	1465533	+	partitioning defective protein 6, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	2489994	2491490	gene-LOC122718808	LOC122718808	NW_025224135.1	792805	794652	-	protein lin-7 homolog C, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1390574	1392244	gene-LOC122718856	LOC122718856	NW_025224135.1	1890909	1893343	+	putative leucine-rich repeat-containing protein DDB_G0290503	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1928778	1929916	gene-LOC122718990	LOC122718990	NW_025224135.1	1349157	1355831	+	ras-like GTP-binding protein RhoL, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	770752	772484	gene-LOC122718802	LOC122718802	NW_025224135.1	2511070	2513330	+	serine/threonine-protein kinase rio2	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	850190	851585	gene-LOC122718970	LOC122718970	NW_025224135.1	2430971	2433029	+	solute carrier family 25 member 46-like	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	2312030	2313336	gene-LOC122718816	LOC122718816	NW_025224135.1	970925	972593	+	surfeit locus protein 1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1875880	1880407	gene-LOC122718790	LOC122718790	NW_025224135.1	1403941	1410301	+	transcription factor MafB, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	1719081	1720424	gene-LOC122718821	LOC122718821	NW_025224135.1	1563256	1564906	-	transcriptional adapter 1-like, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	422104	423800	gene-LOC122718874	LOC122718874	NW_025224135.1	2854426	2860058	+	tubulin glycylase 3A-like	5	7	0.714286		False	False
scaffold_25	GWHAOTM00000025	1070482	1072344	gene-LOC122718735	LOC122718735	NW_025224135.1	2209911	2222710	-	uncharacterized LOC122718735, transcript variant X1	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	2462105	2465953	gene-LOC122718865	LOC122718865	NW_025224135.1	818395	822473	-	uncharacterized LOC122718865	5	5	1.000000		False	False
scaffold_25	GWHAOTM00000025	388879	416934	gene-LOC122718733	LOC122718733	NW_025224135.1	2860473	2890879	-	zwei Ig domain protein zig-8-like	5	6	0.833333		False	False
scaffold_25	GWHAOTM00000025	467625	469375	gene-LOC122718785	LOC122718785	NW_025224135.1	2809025	2811247	+	39S ribosomal protein S30, mitochondrial	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2069137	2070476	gene-LOC122718933	LOC122718933	NW_025224135.1	1213804	1215570	+	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial-like	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2274563	2275802	gene-LOC122718688	LOC122718688	NW_025224135.1	1008332	1010120	+	S-formylglutathione hydrolase	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2042889	2045552	gene-LOC122718931	LOC122718931	NW_025224135.1	1237558	1242594	+	TATA box-binding protein-like 1	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	502650	503302	gene-LOC122718828	LOC122718828	NW_025224135.1	2775050	2776206	-	biogenesis of lysosome-related organelles complex 1 subunit 4, transcript variant X1	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2360953	2361914	gene-LOC122718997	LOC122718997	NW_025224135.1	922395	924617	-	bolA-like protein 3	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	1981978	1983146	gene-LOC122718925	LOC122718925	NW_025224135.1	1300948	1302686	+	divergent protein kinase domain 2A	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2412225	2415421	gene-LOC122718799	LOC122718799	NW_025224135.1	868914	873145	-	intraflagellar transport protein 74 homolog, transcript variant X1	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	556677	626383	gene-LOC122718743	LOC122718743	NW_025224135.1	2651164	2723967	+	nuclear receptor subfamily 2 group F member 1-A	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	802022	804556	gene-LOC122718787	LOC122718787	NW_025224135.1	2477979	2482270	-	probable serine/threonine-protein kinase kinX	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2246916	2249456	gene-LOC122718786	LOC122718786	NW_025224135.1	1034890	1037907	+	protein PFC0760c-like	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	831347	835503	gene-LOC122718642	LOC122718642	NW_025224135.1	2446234	2452508	+	protein giant-lens	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	2048126	2049275	gene-LOC122718926	LOC122718926	NW_025224135.1	1234818	1236606	-	protein phosphatase 1 regulatory subunit 7-like	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	271293	281495	gene-LOC122718749	LOC122718749	NW_025224135.1	2995740	3007342	+	putative fatty acyl-CoA reductase CG5065, transcript variant X1	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	948024	958337	gene-LOC122718992	LOC122718992	NW_025224135.1	2322973	2335240	+	thyrotropin-releasing hormone receptor-like	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	1936492	1937285	gene-LOC122718868	LOC122718868	NW_025224135.1	1346850	1348677	-	uncharacterized LOC122718868	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	292359	296299	gene-LOC122718690	LOC122718690	NW_025224135.1	2980244	2985360	+	vitamin K-dependent protein S-like	4	4	1.000000		False	False
scaffold_25	GWHAOTM00000025	145843	220223	gene-LOC122718676	LOC122718676	NW_025224135.1	3047202	3134895	+	zwei Ig domain protein zig-8-like, transcript variant X1	4	6	0.666667		False	False
scaffold_25	GWHAOTM00000025	1109224	1110083	gene-LOC122718851	LOC122718851	NW_025224135.1	2172058	2173698	+	NADH dehydrogenase [ubiquinone] 1 subunit C2, transcript variant X1	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	2550953	2551172	gene-LOC122718943	LOC122718943	NW_025224135.1	732443	733634	+	SOSS complex subunit C homolog, transcript variant X1	3	4	0.750000		False	False
scaffold_25	GWHAOTM00000025	1912028	1913587	gene-LOC122718811	LOC122718811	NW_025224135.1	1370121	1372527	-	ankyrin repeat and MYND domain-containing protein 2	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	451700	452469	gene-LOC122718885	LOC122718885	NW_025224135.1	2826033	2827110	-	apisimin	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	1100614	1101446	gene-LOC122718966	LOC122718966	NW_025224135.1	2181190	2182435	-	coiled-coil domain-containing protein 134-like	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	1802069	1802848	gene-LOC122718830	LOC122718830	NW_025224135.1	1480981	1482810	+	dephospho-CoA kinase	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	816098	840679	gene-LOC122718640	LOC122718640	NW_025224135.1	2441892	2469722	-	elongation factor-like GTPase 1	3	5	0.600000		False	False
scaffold_25	GWHAOTM00000025	2207211	2211140	gene-LOC122718660	LOC122718660	NW_025224135.1	1072078	1078603	+	innexin inx1	3	4	0.750000		False	False
scaffold_25	GWHAOTM00000025	2200809	2203336	gene-LOC122718867	LOC122718867	NW_025224135.1	1080875	1084196	+	innexin shaking-B-like	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	1927379	1928037	gene-LOC122718991	LOC122718991	NW_025224135.1	1356193	1357316	-	nuclear cap-binding protein subunit 2	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	1903456	1904524	gene-LOC122718963	LOC122718963	NW_025224135.1	1379687	1381276	+	probable tRNA(His) guanylyltransferase	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	1739666	1740213	gene-LOC122718844	LOC122718844	NW_025224135.1	1543228	1544458	+	protein LZIC-like, transcript variant X1	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	2281542	2282511	gene-LOC122718689	LOC122718689	NW_025224135.1	1001608	1008306	-	putative peptidyl-prolyl cis-trans isomerase dodo, transcript variant X1	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	897152	899029	gene-LOC122718706	LOC122718706	NW_025224135.1	2382098	2386914	+	uncharacterized LOC122718706, transcript variant X1	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	2154824	2158054	gene-LOC122718725	LOC122718725	NW_025224135.1	1111956	1131782	+	uncharacterized LOC122718725, transcript variant X1	3	4	0.750000		False	False
scaffold_25	GWHAOTM00000025	808744	812206	gene-LOC122718763	LOC122718763	NW_025224135.1	2471096	2477185	-	very-long-chain 3-oxoacyl-CoA reductase-like	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	1796549	1797561	gene-LOC122718836	LOC122718836	NW_025224135.1	1485099	1499396	-	zinc finger CCCH domain-containing protein 10-like	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	996010	996589	gene-LOC122718938	LOC122718938	NW_025224135.1	2285835	2286697	+	zinc finger protein 593 homolog	3	3	1.000000		False	False
scaffold_25	GWHAOTM00000025	2262640	2262930	gene-LOC122718668	LOC122718668	NW_025224135.1	1021410	1022315	-	40S ribosomal protein S23	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1910799	1911223	gene-LOC122718964	LOC122718964	NW_025224135.1	1373092	1373899	+	ATP synthase subunit g, mitochondrial-like	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1788397	1788878	gene-LOC122718838	LOC122718838	NW_025224135.1	1494846	1495812	+	G patch domain-containing protein 11	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	503743	504224	gene-LOC122718829	LOC122718829	NW_025224135.1	2774249	2775054	+	adhesion G protein-coupled receptor B2-like	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1811176	1811828	gene-LOC122718852	LOC122718852	NW_025224135.1	1471681	1473372	+	autophagy-related protein 23-like	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	992952	993746	gene-LOC122718875	LOC122718875	NW_025224135.1	2288720	2289659	+	cytochrome b-c1 complex subunit 8-like	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	2307701	2309803	gene-LOC122718976	LOC122718976	NW_025224135.1	972849	994670	-	glutamine synthetase 2 cytoplasmic	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	776533	778272	gene-LOC122719004	LOC122719004	NW_025224135.1	2503864	2508589	+	protein PFF0380w-like, transcript variant X1	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	2550169	2550555	gene-LOC122718942	LOC122718942	NW_025224135.1	733501	734364	+	rRNA N6-adenosine-methyltransferase METTL5	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1923673	1924080	gene-LOC122718989	LOC122718989	NW_025224135.1	1359555	1360901	+	small nuclear ribonucleoprotein-associated protein B	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1053121	1054439	gene-LOC122718734	LOC122718734	NW_025224135.1	2227963	2230514	+	uncharacterized LOC122718734	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1925684	1926332	gene-LOC122718988	LOC122718988	NW_025224135.1	1357589	1359052	+	uncharacterized LOC122718988	2	2	1.000000		False	False
scaffold_25	GWHAOTM00000025	1968170	1969387	gene-LOC122718923	LOC122718923	NW_025224135.1	1311776	1316822	+	zinc finger protein 791-like	2	2	1.000000		False	False
