reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AL|XP_043797303.1	AL	XP_043797303.1	LOC122717354	OG0000320	XM_043941368.1	76	351	XP_043797303.1 uncharacterized protein LOC122717354 [Apis laboriosa]
AL|XP_043797304.1	AL	XP_043797304.1	LOC122717355	OG0008378	XM_043941369.1	210	4887	XP_043797304.1 5'-3' exoribonuclease 1 [Apis laboriosa]
AL|XP_043797305.1	AL	XP_043797305.1	LOC122717356	OG0007767	XM_043941370.1	390	2799	XP_043797305.1 importin-13 [Apis laboriosa]
AL|XP_043797307.1	AL	XP_043797307.1	LOC122717358	OG0005106	XM_043941372.1	63	1686	XP_043797307.1 dnaJ homolog subfamily C member 11 isoform X1 [Apis laboriosa]
AL|XP_043797309.1	AL	XP_043797309.1	LOC122717359	OG0005114	XM_043941374.1	108	708	XP_043797309.1 INO80 complex subunit E [Apis laboriosa]
AL|XP_043797310.1	AL	XP_043797310.1	LOC122717357	OG0008614	XM_043941375.1	152	2967	XP_043797310.1 splicing factor, suppressor of white-apricot homolog isoform X1 [Apis laboriosa]
AL|XP_043797311.1	AL	XP_043797311.1	LOC122717360	OG0005109	XM_043941376.1	434	561	XP_043797311.1 uncharacterized protein C1orf50 homolog isoform X1 [Apis laboriosa]
AL|XP_043797314.1	AL	XP_043797314.1	LOC122717361	OG0004602	XM_043941379.1	275	2007	XP_043797314.1 beta-glucuronidase [Apis laboriosa]
AL|XP_043797317.1	AL	XP_043797317.1	LOC122717362	OG0005057	XM_043941382.1	46	15678	XP_043797317.1 midasin [Apis laboriosa]
AL|XP_043797318.1	AL	XP_043797318.1	LOC122717363	OG0006023	XM_043941383.1	474	1470	XP_043797318.1 uncharacterized protein LOC122717363 [Apis laboriosa]
AL|XP_043797320.1	AL	XP_043797320.1	LOC122717364	OG0006819	XM_043941385.1	14	1272	XP_043797320.1 ran-binding protein 3 [Apis laboriosa]
AL|XP_043797321.1	AL	XP_043797321.1	LOC122717365	OG0000386	XM_043941386.1	194	981	XP_043797321.1 dnaJ homolog subfamily B member 6-B-like isoform X1 [Apis laboriosa]
AL|XP_043797325.1	AL	XP_043797325.1	LOC122717366	OG0001273	XM_043941390.1	145	267	XP_043797325.1 putative acyl-CoA-binding protein [Apis laboriosa]
AL|XP_043797326.1	AL	XP_043797326.1	LOC122717367	OG0005118	XM_043941391.1	162	1875	XP_043797326.1 ATP-binding cassette sub-family G member 5 [Apis laboriosa]
AL|XP_043797327.1	AL	XP_043797327.1	LOC122717368	OG0007025	XM_043941392.1	242	1623	XP_043797327.1 succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial [Apis laboriosa]
AL|XP_043797329.1	AL	XP_043797329.1	LOC122717369	OG0001088	XM_043941394.1	285	1728	XP_043797329.1 monocarboxylate transporter 13-like [Apis laboriosa]
AL|XP_043797331.1	AL	XP_043797331.1	LOC122717370	OG0006783	XM_043941396.1	347	1557	XP_043797331.1 regulator of G-protein signaling 7 [Apis laboriosa]
AL|XP_043797333.1	AL	XP_043797333.1	LOC122717371	OG0008638	XM_043941398.1	86	4290	XP_043797333.1 THO complex subunit 2 isoform X1 [Apis laboriosa]
AL|XP_043797335.1	AL	XP_043797335.1	LOC122717372	OG0002329	XM_043941400.1	57	2646	XP_043797335.1 endoplasmic reticulum metallopeptidase 1-like isoform X1 [Apis laboriosa]
AL|XP_043797338.1	AL	XP_043797338.1	LOC122717373	OG0004576	XM_043941403.1	289	2658	XP_043797338.1 sorting nexin-14-like [Apis laboriosa]
AL|XP_043797339.1	AL	XP_043797339.1	LOC122717374	OG0004605	XM_043941404.1	118	942	XP_043797339.1 guanine nucleotide-binding protein subunit beta-like protein 1 isoform X1 [Apis laboriosa]
AL|XP_043797341.1	AL	XP_043797341.1	LOC122717375	OG0008525	XM_043941406.1	69	927	XP_043797341.1 NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 [Apis laboriosa]
AL|XP_043797342.1	AL	XP_043797342.1	LOC122717376	OG0007707	XM_043941407.1	445	2592	XP_043797342.1 coatomer subunit beta' [Apis laboriosa]
AL|XP_043797343.1	AL	XP_043797343.1	LOC122717377	OG0005104	XM_043941408.1	147	9348	XP_043797343.1 A-kinase anchor protein 9-like isoform X1 [Apis laboriosa]
AL|XP_043797349.1	AL	XP_043797349.1	LOC122717378	OG0006259	XM_043941414.1	142	897	XP_043797349.1 inositol oxygenase [Apis laboriosa]
AL|XP_043797351.1	AL	XP_043797351.1	LOC122717379	OG0005105	XM_043941416.1	1070	1563	XP_043797351.1 2-phosphoxylose phosphatase 1 [Apis laboriosa]
AL|XP_043797352.1	AL	XP_043797352.1	LOC122717380	OG0004600	XM_043941417.1	320	4611	XP_043797352.1 putative uncharacterized protein DDB_G0282133 isoform X1 [Apis laboriosa]
AL|XP_043797354.1	AL	XP_043797354.1	LOC122717381	OG0007298	XM_043941419.1	145	3456	XP_043797354.1 tubulin-specific chaperone D [Apis laboriosa]
AL|XP_043797355.1	AL	XP_043797355.1	LOC122717382	OG0001949	XM_043941420.1	3	1308	XP_043797355.1 alpha-(1,3)-fucosyltransferase 10 [Apis laboriosa]
AL|XP_043797356.1	AL	XP_043797356.1	LOC122717383	OG0005799	XM_043941421.1	978	2163	XP_043797356.1 GATA-binding factor C-like isoform X1 [Apis laboriosa]
AL|XP_043797360.1	AL	XP_043797360.1	LOC122717385	OG0007679	XM_043941425.1	274	4815	XP_043797360.1 low-density lipoprotein receptor-related protein 6 isoform X1 [Apis laboriosa]
AL|XP_043797362.1	AL	XP_043797362.1	LOC122717384	OG0001678	XM_043941427.1	75	2367	XP_043797362.1 cullin-5 isoform X1 [Apis laboriosa]
AL|XP_043797363.1	AL	XP_043797363.1	LOC122717387	OG0001042	XM_043941428.1	127	552	XP_043797363.1 muscle-specific protein 20 [Apis laboriosa]
AL|XP_043797364.1	AL	XP_043797364.1	LOC122717388	OG0006761	XM_043941429.1	296	3132	XP_043797364.1 patched domain-containing protein 3 isoform X1 [Apis laboriosa]
AL|XP_043797372.1	AL	XP_043797372.1	LOC122717401	OG0000345	XM_043941437.1	25	480	XP_043797372.1 uncharacterized protein LOC122717401 [Apis laboriosa]
AL|XP_043797373.1	AL	XP_043797373.1	LOC122717402	OG0007095	XM_043941438.1	331	2283	XP_043797373.1 translocation protein SEC63 homolog [Apis laboriosa]
AL|XP_043797374.1	AL	XP_043797374.1	LOC122717403	OG0008142	XM_043941439.1	237	1659	XP_043797374.1 protein jim lovell [Apis laboriosa]
AL|XP_043797376.1	AL	XP_043797376.1	LOC122717404	OG0007169	XM_043941441.1	374	1440	XP_043797376.1 SET domain-containing protein SmydA-8-like [Apis laboriosa]
AL|XP_043797377.1	AL	XP_043797377.1	LOC122717405	OG0008121	XM_043941442.1	263	7677	XP_043797377.1 eIF-2-alpha kinase activator GCN1 [Apis laboriosa]
AL|XP_043797378.1	AL	XP_043797378.1	LOC122717406	OG0007038	XM_043941443.1	167	1332	XP_043797378.1 sphingomyelin synthase-related 1-like [Apis laboriosa]
AL|XP_043797379.1	AL	XP_043797379.1	LOC122717408	OG0002148	XM_043941444.1	103	2136	XP_043797379.1 inhibitor of nuclear factor kappa-B kinase subunit beta [Apis laboriosa]
AL|XP_043797380.1	AL	XP_043797380.1	LOC122717409	OG0000041	XM_043941445.1	0	1122	XP_043797380.1 uncharacterized protein LOC122717409 [Apis laboriosa]
AL|XP_043797381.1	AL	XP_043797381.1	LOC122717410	OG0000479	XM_043941446.1	0	1752	XP_043797381.1 radial spoke head 10 homolog B-like [Apis laboriosa]
AL|XP_043797382.1	AL	XP_043797382.1	LOC122717407	OG0008746	XM_043941447.1	89	3105	XP_043797382.1 ubinuclein-1 [Apis laboriosa]
AL|XP_043797383.1	AL	XP_043797383.1	LOC122717411	OG0008327	XM_043941448.1	0	1725	XP_043797383.1 protein NDNF [Apis laboriosa]
AL|XP_043797384.1	AL	XP_043797384.1	LOC122717412	OG0005976	XM_043941449.1	0	1197	XP_043797384.1 uncharacterized protein LOC122717412 [Apis laboriosa]
AL|XP_043797385.1	AL	XP_043797385.1	LOC122717413	OG0009990	XM_043941450.1	0	429	XP_043797385.1 phosphatidylinositol 4-phosphate 5-kinase 7-like [Apis laboriosa]
AL|XP_043797386.1	AL	XP_043797386.1	LOC122717416	OG0000027	XM_043941451.1	1	531	XP_043797386.1 acyl-CoA Delta-9 desaturase-like, partial [Apis laboriosa]
AL|XP_043797387.1	AL	XP_043797387.1	LOC122717417	OG0004617	XM_043941452.1	221	4707	XP_043797387.1 227 kDa spindle- and centromere-associated protein-like isoform X1 [Apis laboriosa]
AL|XP_043797393.1	AL	XP_043797393.1	LOC122717386	OG0000759	XM_043941458.1	264	1368	XP_043797393.1 excitatory amino acid transporter 3-like isoform X1 [Apis laboriosa]
AL|XP_043797394.1	AL	XP_043797394.1	LOC122717418	OG0001692	XM_043941459.1	51	1125	XP_043797394.1 peptidyl-prolyl cis-trans isomerase D [Apis laboriosa]
AL|XP_043797395.1	AL	XP_043797395.1	LOC122717419	OG0007779	XM_043941460.1	112	3873	XP_043797395.1 transcriptional activator cubitus interruptus [Apis laboriosa]
AL|XP_043797396.1	AL	XP_043797396.1	LOC122717420	OG0002165	XM_043941461.1	238	3738	XP_043797396.1 isoleucine--tRNA ligase, cytoplasmic [Apis laboriosa]
AL|XP_043797398.1	AL	XP_043797398.1	LOC122717421	OG0008616	XM_043941463.1	114	1734	XP_043797398.1 insulin receptor substrate 4 isoform X2 [Apis laboriosa]
AL|XP_043797399.1	AL	XP_043797399.1	LOC122717422	OG0006940	XM_043941464.1	0	783	XP_043797399.1 60S ribosomal protein L7 [Apis laboriosa]
AL|XP_043797400.1	AL	XP_043797400.1	LOC122717423	OG0004618	XM_043941465.1	126	4665	XP_043797400.1 uncharacterized protein LOC122717423 [Apis laboriosa]
AL|XP_043797401.1	AL	XP_043797401.1	LOC122717424	OG0007316	XM_043941466.1	0	2205	XP_043797401.1 ADAM 17-like protease [Apis laboriosa]
AL|XP_043797402.1	AL	XP_043797402.1	LOC122717426	OG0001242	XM_043941467.1	22	2448	XP_043797402.1 programmed cell death 6-interacting protein [Apis laboriosa]
AL|XP_043797403.1	AL	XP_043797403.1	LOC122717427	OG0008022	XM_043941468.1	35	5310	XP_043797403.1 uncharacterized protein LOC122717427 isoform X1 [Apis laboriosa]
AL|XP_043797406.1	AL	XP_043797406.1	LOC122717425	OG0002444	XM_043941471.1	789	4914	XP_043797406.1 uncharacterized protein LOC122717425 isoform X1 [Apis laboriosa]
AL|XP_043797408.1	AL	XP_043797408.1	LOC122717428	OG0001991	XM_043941473.1	268	1533	XP_043797408.1 protein GDAP2 homolog [Apis laboriosa]
AL|XP_043797410.1	AL	XP_043797410.1	LOC122717429	OG0007787	XM_043941475.1	4	1380	XP_043797410.1 kynurenine 3-monooxygenase isoform X1 [Apis laboriosa]
AL|XP_043797414.1	AL	XP_043797414.1	LOC122717430	OG0000185	XM_043941479.1	317	1044	XP_043797414.1 2-acylglycerol O-acyltransferase 1-like [Apis laboriosa]
AL|XP_043797416.1	AL	XP_043797416.1	LOC122717431		XM_043941481.1	145	306	XP_043797416.1 uncharacterized protein LOC122717431 [Apis laboriosa]
AL|XP_043797418.1	AL	XP_043797418.1	LOC122717432	OG0000053	XM_043941483.1	0	1050	XP_043797418.1 acyl-CoA Delta-12 desaturase-like [Apis laboriosa]
AL|XP_043797419.1	AL	XP_043797419.1	LOC122717433	OG0004613	XM_043941484.1	207	2421	XP_043797419.1 glutamate receptor ionotropic, delta-2-like isoform X1 [Apis laboriosa]
AL|XP_043797422.1	AL	XP_043797422.1	LOC122717434	OG0008266	XM_043941487.1	234	1023	XP_043797422.1 cysteine and histidine-rich domain-containing protein [Apis laboriosa]
AL|XP_043797423.1	AL	XP_043797423.1	LOC122717435	OG0005376	XM_043941488.1	135	1029	XP_043797423.1 transmembrane and ubiquitin-like domain-containing protein 1 [Apis laboriosa]
AL|XP_043797425.1	AL	XP_043797425.1	LOC122717436	OG0004614	XM_043941490.1	0	741	XP_043797425.1 uncharacterized protein LOC122717436 [Apis laboriosa]
AL|XP_043797426.1	AL	XP_043797426.1	LOC122717437	OG0004610	XM_043941491.1	120	678	XP_043797426.1 translation machinery-associated protein 16 homolog [Apis laboriosa]
AL|XP_043797427.1	AL	XP_043797427.1	LOC122717438	OG0004615	XM_043941492.1	0	5391	XP_043797427.1 uncharacterized protein LOC122717438 [Apis laboriosa]
AL|XP_043797428.1	AL	XP_043797428.1	LOC122717439	OG0009829	XM_043941493.1	0	7407	XP_043797428.1 mucin-17 [Apis laboriosa]
AL|XP_043797429.1	AL	XP_043797429.1	LOC122717440		XM_043941494.1	0	2472	XP_043797429.1 rho GTPase-activating protein gacF-like [Apis laboriosa]
AL|XP_043797430.1	AL	XP_043797430.1	LOC122717441		XM_043941495.1	327	438	XP_043797430.1 velvet complex subunit B-like [Apis laboriosa]
AL|XP_043797431.1	AL	XP_043797431.1	LOC122717442		XM_043941496.1	0	243	XP_043797431.1 uncharacterized protein LOC122717442 [Apis laboriosa]
AL|XP_043797432.1	AL	XP_043797432.1	LOC122717444	OG0004611	XM_043941497.1	0	1647	XP_043797432.1 tax1-binding protein 1 homolog [Apis laboriosa]
AL|XP_043797433.1	AL	XP_043797433.1	LOC122717445	OG0000538	XM_043941498.1	279	1041	XP_043797433.1 acyl-CoA Delta-9 desaturase-like [Apis laboriosa]
AL|XP_043797434.1	AL	XP_043797434.1	LOC122717446	OG0000489	XM_043941499.1	219	2895	XP_043797434.1 glutamyl aminopeptidase-like isoform X1 [Apis laboriosa]
AL|XP_043797435.1	AL	XP_043797435.1	LOC122717443	OG0001552	XM_043941500.1	23	2013	XP_043797435.1 caprin homolog [Apis laboriosa]
AL|XP_043797440.1	AL	XP_043797440.1	LOC122717447	OG0000027	XM_043941505.1	213	1218	XP_043797440.1 acyl-CoA Delta-9 desaturase-like isoform X1 [Apis laboriosa]
AL|XP_043797447.1	AL	XP_043797447.1	LOC122717449	OG0004616	XM_043941512.1	15	1338	XP_043797447.1 phosphatidylcholine:ceramide cholinephosphotransferase 2-like isoform X1 [Apis laboriosa]
AL|XP_043797448.1	AL	XP_043797448.1	LOC122717448	OG0005489	XM_043941513.1	168	3699	XP_043797448.1 uncharacterized protein LOC122717448 isoform X1 [Apis laboriosa]
AL|XP_043797457.1	AL	XP_043797457.1	LOC122717450	OG0004612	XM_043941522.1	245	660	XP_043797457.1 esterase CG5412 isoform X1 [Apis laboriosa]
AL|XP_043797462.1	AL	XP_043797462.1	LOC122717451	OG0001858	XM_043941527.1	136	351	XP_043797462.1 elongin-B [Apis laboriosa]
AL|XP_043797463.1	AL	XP_043797463.1	LOC122717453	OG0000027	XM_043941528.1	135	1131	XP_043797463.1 acyl-CoA Delta-9 desaturase-like [Apis laboriosa]
AL|XP_043797465.1	AL	XP_043797465.1	LOC122717454	OG0000536	XM_043941530.1	605	1116	XP_043797465.1 acyl-CoA Delta-9 desaturase isoform X1 [Apis laboriosa]
AL|XP_043797470.1	AL	XP_043797470.1	LOC122717456	OG0005868	XM_043941535.1	0	3462	XP_043797470.1 uncharacterized protein LOC122717456 [Apis laboriosa]
AL|XP_043797471.1	AL	XP_043797471.1	LOC122717455	OG0006887	XM_043941536.1	255	1590	XP_043797471.1 rab11 family-interacting protein 2 [Apis laboriosa]
AL|XP_043797472.1	AL	XP_043797472.1	LOC122717457	OG0003246	XM_043941537.1	553	2376	XP_043797472.1 transient receptor potential channel pyrexia-like isoform X1 [Apis laboriosa]
AL|XP_043797478.1	AL	XP_043797478.1	LOC122717458	OG0009275	XM_043941543.1	117	234	XP_043797478.1 cysteine-rich protein 1-like [Apis laboriosa]
AL|XP_043797479.1	AL	XP_043797479.1	LOC122717459	OG0004309	XM_043941544.1	175	8388	XP_043797479.1 uncharacterized protein LOC122717459 isoform X1 [Apis laboriosa]
AL|XP_043797483.1	AL	XP_043797483.1	LOC122717462	OG0002252	XM_043941548.1	21	3561	XP_043797483.1 LIM domain kinase 1 isoform X1 [Apis laboriosa]
AL|XP_043797485.1	AL	XP_043797485.1	LOC122717460	OG0005526	XM_043941550.1	94	2379	XP_043797485.1 uncharacterized protein LOC122717460 [Apis laboriosa]
AL|XP_043797486.1	AL	XP_043797486.1	LOC122717463	OG0000918	XM_043941551.1	131	894	XP_043797486.1 cyclin-dependent kinase 1 [Apis laboriosa]
AL|XP_043797487.1	AL	XP_043797487.1	LOC122717464	OG0005366	XM_043941552.1	161	834	XP_043797487.1 phospholipase A2 hemilipin isoform X1 [Apis laboriosa]
AL|XP_043797489.1	AL	XP_043797489.1	LOC122717465	OG0005365	XM_043941554.1	84	810	XP_043797489.1 apolipoprotein D-like [Apis laboriosa]
AL|XP_043797491.1	AL	XP_043797491.1	LOC122717466	OG0001152	XM_043941556.1	463	6105	XP_043797491.1 plexin-B isoform X1 [Apis laboriosa]
AL|XP_043797493.1	AL	XP_043797493.1	LOC122717467	OG0005367	XM_043941558.1	250	1245	XP_043797493.1 plasminogen activator inhibitor 1 RNA-binding protein-like isoform X1 [Apis laboriosa]
AL|XP_043797495.1	AL	XP_043797495.1	LOC122717469	OG0007262	XM_043941560.1	0	2238	XP_043797495.1 ATP-dependent RNA helicase SUV3 homolog, mitochondrial [Apis laboriosa]
AL|XP_043797496.1	AL	XP_043797496.1	LOC122717470	OG0005363	XM_043941561.1	494	1518	XP_043797496.1 uncharacterized protein LOC122717470 [Apis laboriosa]
AL|XP_043797497.1	AL	XP_043797497.1	LOC122717468	OG0007372	XM_043941562.1	907	939	XP_043797497.1 uncharacterized protein LOC122717468 [Apis laboriosa]
AL|XP_043797498.1	AL	XP_043797498.1	LOC122717471	OG0005373	XM_043941563.1	46	975	XP_043797498.1 mitoferrin-1-like [Apis laboriosa]
AL|XP_043797499.1	AL	XP_043797499.1	LOC122717472	OG0001467	XM_043941564.1	81	1626	XP_043797499.1 puff-specific protein Bx42 [Apis laboriosa]
AL|XP_043797500.1	AL	XP_043797500.1	LOC122717473	OG0007139	XM_043941565.1	144	936	XP_043797500.1 NAD-dependent protein deacylase Sirt4-like [Apis laboriosa]
AL|XP_043797501.1	AL	XP_043797501.1	LOC122717474	OG0008637	XM_043941566.1	1716	2199	XP_043797501.1 aryl hydrocarbon receptor nuclear translocator homolog isoform X1 [Apis laboriosa]
AL|XP_043797506.1	AL	XP_043797506.1	LOC122717476	OG0001964	XM_043941571.1	781	4281	XP_043797506.1 uncharacterized protein LOC122717476 isoform X1 [Apis laboriosa]
AL|XP_043797510.1	AL	XP_043797510.1	LOC122717475	OG0007447	XM_043941575.1	421	714	XP_043797510.1 CD151 antigen [Apis laboriosa]
AL|XP_043797511.1	AL	XP_043797511.1	LOC122717477	OG0008032	XM_043941576.1	138	2835	XP_043797511.1 mitogen-activated protein kinase kinase kinase kinase 5 isoform X1 [Apis laboriosa]
AL|XP_043797520.1	AL	XP_043797520.1	LOC122717478	OG0002645	XM_043941585.1	1635	1866	XP_043797520.1 carboxylesterase 1C-like isoform X1 [Apis laboriosa]
AL|XP_043797522.1	AL	XP_043797522.1	LOC122717479	OG0006824	XM_043941587.1	837	552	XP_043797522.1 ras-related protein Rap1 [Apis laboriosa]
AL|XP_043797524.1	AL	XP_043797524.1	LOC122717482	OG0002650	XM_043941589.1	431	2760	XP_043797524.1 GAS2-like protein pickled eggs isoform X1 [Apis laboriosa]
AL|XP_043797526.1	AL	XP_043797526.1	LOC122717484	OG0005370	XM_043941591.1	57	4272	XP_043797526.1 uncharacterized protein LOC122717484 [Apis laboriosa]
AL|XP_043797527.1	AL	XP_043797527.1	LOC122717485	OG0005372	XM_043941592.1	265	2106	XP_043797527.1 uncharacterized protein LOC122717485 isoform X1 [Apis laboriosa]
AL|XP_043797529.1	AL	XP_043797529.1	LOC122717483	OG0000762	XM_043941594.1	0	2055	XP_043797529.1 uncharacterized protein LOC122717483 isoform X1 [Apis laboriosa]
AL|XP_043797531.1	AL	XP_043797531.1	LOC122717486	OG0005364	XM_043941596.1	129	1233	XP_043797531.1 arginine/serine-rich coiled-coil protein 2 isoform X1 [Apis laboriosa]
AL|XP_043797533.1	AL	XP_043797533.1	LOC122717487	OG0005374	XM_043941598.1	370	3636	XP_043797533.1 coronin-7 isoform X1 [Apis laboriosa]
AL|XP_043797536.1	AL	XP_043797536.1	LOC122717488	OG0005375	XM_043941601.1	60	2550	XP_043797536.1 uncharacterized protein LOC122717488 [Apis laboriosa]
AL|XP_043797537.1	AL	XP_043797537.1	LOC122717489	OG0001483	XM_043941602.1	62	1593	XP_043797537.1 T-complex protein 1 subunit zeta [Apis laboriosa]
AL|XP_043797539.1	AL	XP_043797539.1	LOC122717490	OG0005368	XM_043941604.1	22	2910	XP_043797539.1 Fanconi anemia group J protein homolog [Apis laboriosa]
AL|XP_043797540.1	AL	XP_043797540.1	LOC122717491	OG0006411	XM_043941605.1	858	6657	XP_043797540.1 nipped-B protein [Apis laboriosa]
AL|XP_043797542.1	AL	XP_043797542.1	LOC122717492	OG0009104	XM_043941607.1	0	1128	XP_043797542.1 uncharacterized protein LOC122717492, partial [Apis laboriosa]
AL|XP_043797543.1	AL	XP_043797543.1	LOC122717493	OG0007030	XM_043941608.1	466	1611	XP_043797543.1 sorting nexin lst-4 [Apis laboriosa]
AL|XP_043797544.1	AL	XP_043797544.1	LOC122717494	OG0007901	XM_043941609.1	99	1008	XP_043797544.1 eukaryotic translation initiation factor 3 subunit H [Apis laboriosa]
AL|XP_043797545.1	AL	XP_043797545.1	LOC122717495	OG0008538	XM_043941610.1	310	3123	XP_043797545.1 IQ motif and SEC7 domain-containing protein 1 isoform X1 [Apis laboriosa]
AL|XP_043797551.1	AL	XP_043797551.1	LOC122717496	OG0006827	XM_043941616.1	153	582	XP_043797551.1 ras-like protein 1 [Apis laboriosa]
AL|XP_043797558.1	AL	XP_043797558.1	LOC122717497	OG0001824	XM_043941623.1	132	1983	XP_043797558.1 myotubularin-related protein 14 isoform X1 [Apis laboriosa]
AL|XP_043797562.1	AL	XP_043797562.1	LOC122717498	OG0006622	XM_043941627.1	87	855	XP_043797562.1 peroxisome biogenesis factor 10 [Apis laboriosa]
AL|XP_043797563.1	AL	XP_043797563.1	LOC122717499	OG0005356	XM_043941628.1	780	3789	XP_043797563.1 eukaryotic translation initiation factor 4E transporter-like isoform X1 [Apis laboriosa]
AL|XP_043797568.1	AL	XP_043797568.1	LOC122717500	OG0005357	XM_043941633.1	41	1506	XP_043797568.1 coiled-coil domain-containing protein 174 [Apis laboriosa]
AL|XP_043797569.1	AL	XP_043797569.1	LOC122717501	OG0001533	XM_043941634.1	29	1311	XP_043797569.1 calcium/calmodulin-dependent protein kinase type 1 isoform X1 [Apis laboriosa]
AL|XP_043797573.1	AL	XP_043797573.1	LOC122717502	OG0006455	XM_043941638.1	137	759	XP_043797573.1 non-structural maintenance of chromosomes element 1 homolog isoform X1 [Apis laboriosa]
AL|XP_043797575.1	AL	XP_043797575.1	LOC122717503	OG0002649	XM_043941640.1	95	1905	XP_043797575.1 U3 small nucleolar ribonucleoprotein protein MPP10 [Apis laboriosa]
AL|XP_043797576.1	AL	XP_043797576.1	LOC122717504	OG0005360	XM_043941641.1	309	756	XP_043797576.1 leucine-rich melanocyte differentiation-associated protein-like isoform X1 [Apis laboriosa]
AL|XP_043797578.1	AL	XP_043797578.1	LOC122717506	OG0005358	XM_043941643.1	266	1353	XP_043797578.1 myb-like protein X [Apis laboriosa]
AL|XP_043797580.1	AL	XP_043797580.1	LOC122717508	OG0005371	XM_043941645.1	292	1839	XP_043797580.1 regulatory protein MIG1-like [Apis laboriosa]
AL|XP_043797581.1	AL	XP_043797581.1	LOC122717509	OG0005369	XM_043941646.1	140	480	XP_043797581.1 coiled-coil domain-containing protein 86 [Apis laboriosa]
AL|XP_043797582.1	AL	XP_043797582.1	LOC122717510	OG0009105	XM_043941647.1	217	561	XP_043797582.1 protein ATP6V1FNB-like [Apis laboriosa]
AL|XP_043797583.1	AL	XP_043797583.1	LOC122717507	OG0006581	XM_043941648.1	305	2667	XP_043797583.1 E3 ubiquitin-protein ligase SH3RF3-like isoform X1 [Apis laboriosa]
AL|XP_043797584.1	AL	XP_043797584.1	LOC122717511	OG0000530	XM_043941649.1	514	2385	XP_043797584.1 peroxidase-like isoform X1 [Apis laboriosa]
AL|XP_043797588.1	AL	XP_043797588.1	LOC122717512	OG0000529	XM_043941653.1	110	2097	XP_043797588.1 peroxidase isoform X1 [Apis laboriosa]
AL|XP_043797593.1	AL	XP_043797593.1	LOC122717513	OG0000979	XM_043941658.1	9	1638	XP_043797593.1 synaptic vesicle glycoprotein 2C-like isoform X1 [Apis laboriosa]
AL|XP_043797600.1	AL	XP_043797600.1	LOC122717515	OG0002646	XM_043941665.1	0	1485	XP_043797600.1 coiled-coil domain-containing protein 112-like [Apis laboriosa]
AL|XP_043797602.1	AL	XP_043797602.1	LOC122717516	OG0003100	XM_043941667.1	0	1410	XP_043797602.1 facilitated trehalose transporter Tret1-like [Apis laboriosa]
AL|XP_043797603.1	AL	XP_043797603.1	LOC122717517	OG0001021	XM_043941668.1	1396	1311	XP_043797603.1 octopamine receptor beta-2R-like isoform X1 [Apis laboriosa]
AL|XP_043797612.1	AL	XP_043797612.1	LOC122717520	OG0000815	XM_043941677.1	176	12708	XP_043797612.1 spectrin beta chain, non-erythrocytic 5 isoform X1 [Apis laboriosa]
AL|XP_043797617.1	AL	XP_043797617.1	LOC122717521	OG0002647	XM_043941682.1	0	2055	XP_043797617.1 hemicentin-1-like [Apis laboriosa]
AL|XP_043797618.1	AL	XP_043797618.1	LOC122717522	OG0007757	XM_043941683.1	213	795	XP_043797618.1 jerky protein homolog-like isoform X1 [Apis laboriosa]
AL|XP_043797622.1	AL	XP_043797622.1	LOC122717523	OG0009274	XM_043941687.1	462	1518	XP_043797622.1 TBC1 domain family member 19 [Apis laboriosa]
AL|XP_043797623.1	AL	XP_043797623.1	LOC122717524	OG0005359	XM_043941688.1	1181	13488	XP_043797623.1 uncharacterized protein LOC122717524 isoform X1 [Apis laboriosa]
AL|XP_043797627.1	AL	XP_043797627.1	LOC122717525	OG0000674	XM_043941692.1	1178	2358	XP_043797627.1 optomotor-blind protein-like isoform X1 [Apis laboriosa]
AL|XP_043797631.1	AL	XP_043797631.1	LOC122717527	OG0008133	XM_043941696.1	7	3648	XP_043797631.1 protein BCL9 homolog isoform X1 [Apis laboriosa]
AL|XP_043797633.1	AL	XP_043797633.1	LOC122717526	OG0006424	XM_043941698.1	177	1917	XP_043797633.1 nucleolar GTP-binding protein 1 [Apis laboriosa]
AL|XP_043797634.1	AL	XP_043797634.1	LOC122717528	OG0009218	XM_043941699.1	0	957	XP_043797634.1 uncharacterized protein LOC122717528 isoform X1 [Apis laboriosa]
AL|XP_043797636.1	AL	XP_043797636.1	LOC122717529	OG0005361	XM_043941701.1	123	900	XP_043797636.1 integrator complex subunit 12-like isoform X1 [Apis laboriosa]
AL|XP_043797641.1	AL	XP_043797641.1	LOC122717530	OG0005362	XM_043941706.1	476	702	XP_043797641.1 zinc finger Ran-binding domain-containing protein 2-like [Apis laboriosa]
AL|XP_043797643.1	AL	XP_043797643.1	LOC122717532	OG0004308	XM_043941708.1	86	4002	XP_043797643.1 biorientation of chromosomes in cell division protein 1-like 1 isoform X1 [Apis laboriosa]
AL|XP_043797645.1	AL	XP_043797645.1	LOC122717533	OG0003099	XM_043941710.1	94	1182	XP_043797645.1 BTB/POZ domain-containing protein KCTD9 isoform X1 [Apis laboriosa]
AL|XP_043797647.1	AL	XP_043797647.1	LOC122717531	OG0008229	XM_043941712.1	1018	1743	XP_043797647.1 bone morphogenetic protein 2 [Apis laboriosa]
