sample	read_id	orthogroup	best_reference	score	target_start	target_end	matched_bases	aligned_bases
AL	SRR9034695.471627	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.471730	OG0001109	AL|XP_043794209.1	290	92	242	149	150
AL	SRR9034695.472211	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.472703	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.472931	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.473397	OG0001109	AL|XP_043794209.1	300	24	174	150	150
AL	SRR9034695.473502	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.473680	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.474519	OG0001109	AL|XP_043794209.1	300	119	269	150	150
AL	SRR9034695.475098	OG0001109	AL|XP_043794209.1	290	11	161	149	150
AL	SRR9034695.475230	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.476657	OG0001109	AL|XP_043794209.1	276	98	241	142	143
AL	SRR9034695.477904	OG0001109	AL|XP_043794209.1	280	17	167	148	150
AL	SRR9034695.477991	OG0001109	AL|XP_043794209.1	278	0	139	139	139
AL	SRR9034695.478076	OG0001109	AL|XP_043794209.1	280	133	283	148	150
AL	SRR9034695.478219	OG0001109	AL|XP_043794209.1	248	158	303	140	145
AL	SRR9034695.479162	OG0001109	AL|XP_043794209.1	286	98	241	143	143
AL	SRR9034695.479421	OG0001109	AL|XP_043794209.1	300	8	158	150	150
AL	SRR9034695.479947	OG0001109	AL|XP_043794209.1	280	158	303	144	145
AL	SRR9034695.481060	OG0001109	AL|XP_043794209.1	300	83	233	150	150
AL	SRR9034695.481658	OG0001109	AL|XP_043794209.1	300	91	241	150	150
AL	SRR9034695.481956	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.482080	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.482633	OG0001109	AL|XP_043794209.1	300	112	262	150	150
AL	SRR9034695.483271	OG0001109	AL|XP_043794209.1	190	145	295	139	150
AL	SRR9034695.483866	OG0001109	AL|XP_043794209.1	290	53	203	149	150
AL	SRR9034695.484260	OG0001109	AL|XP_043794209.1	300	82	232	150	150
AL	SRR9034695.484440	OG0001109	AL|XP_043794209.1	288	121	271	148	150
AL	SRR9034695.485274	OG0001109	AL|XP_043794209.1	290	53	203	149	150
AL	SRR9034695.485433	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.487376	OG0001109	AL|XP_043794209.1	284	161	303	142	142
AL	SRR9034695.490345	OG0001109	AL|XP_043794209.1	244	66	198	130	132
AL	SRR9034695.491375	OG0001109	AL|XP_043794209.1	240	59	209	144	150
AL	SRR9034695.491448	OG0001109	AL|XP_043794209.1	288	0	149	148	149
AL	SRR9034695.491987	OG0001109	AL|XP_043794209.1	266	0	143	141	143
AL	SRR9034695.492746	OG0001109	AL|XP_043794209.1	256	83	233	145	150
AL	SRR9034695.492976	OG0001109	AL|XP_043794209.1	256	157	300	140	143
AL	SRR9034695.493153	OG0001109	AL|XP_043794209.1	290	1	151	149	150
AL	SRR9034695.493534	OG0001109	AL|XP_043794209.1	260	0	140	138	140
AL	SRR9034695.493985	OG0001109	AL|XP_043794209.1	184	4	151	136	147
AL	SRR9034695.494281	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.494736	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.495305	OG0001109	AL|XP_043794209.1	150	89	229	127	140
AL	SRR9034695.495590	OG0001109	AL|XP_043794209.1	260	111	261	146	150
AL	SRR9034695.496098	OG0001109	AL|XP_043794209.1	204	95	242	138	147
AL	SRR9034695.496561	OG0001109	AL|XP_043794209.1	260	111	261	146	150
AL	SRR9034695.497454	OG0001109	AL|XP_043794209.1	290	102	252	149	150
AL	SRR9034695.499860	OG0001109	AL|XP_043794209.1	260	0	145	142	145
AL	SRR9034695.500003	OG0001109	AL|XP_043794209.1	290	130	280	149	150
AL	SRR9034695.500081	OG0001109	AL|XP_043794209.1	184	66	198	124	132
AL	SRR9034695.500426	OG0001109	AL|XP_043794209.1	236	165	303	134	138
AL	SRR9034695.500722	OG0001109	AL|XP_043794209.1	210	183	303	117	120
AL	SRR9034695.500857	OG0001109	AL|XP_043794209.1	298	154	303	149	149
AL	SRR9034695.500999	OG0001109	AL|XP_043794209.1	270	84	234	147	150
AL	SRR9034695.501523	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.502074	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.502443	OG0001109	AL|XP_043794209.1	260	99	249	146	150
AL	SRR9034695.503099	OG0001109	AL|XP_043794209.1	208	0	145	136	145
AL	SRR9034695.503261	OG0001109	AL|XP_043794209.1	262	7	157	146	150
AL	SRR9034695.504259	OG0001109	AL|XP_043794209.1	178	159	303	133	144
AL	SRR9034695.504807	OG0001109	AL|XP_043794209.1	280	73	223	148	150
AL	SRR9034695.505570	OG0001109	AL|XP_043794209.1	220	0	145	138	145
AL	SRR9034695.505645	OG0001109	AL|XP_043794209.1	216	67	210	136	143
AL	SRR9034695.506140	OG0001109	AL|XP_043794209.1	212	58	189	126	131
AL	SRR9034695.506165	OG0001109	AL|XP_043794209.1	300	119	269	150	150
AL	SRR9034695.506719	OG0001109	AL|XP_043794209.1	176	0	139	128	139
AL	SRR9034695.507313	OG0001109	AL|XP_043794209.1	228	0	139	134	139
AL	SRR9034695.512778	OG0001109	AL|XP_043794209.1	270	52	202	147	150
AL	SRR9034695.513858	OG0001109	AL|XP_043794209.1	230	116	266	143	150
AL	SRR9034695.514494	OG0001109	AL|XP_043794209.1	200	77	227	140	150
AL	SRR9034695.516035	OG0001109	AL|XP_043794209.1	300	24	174	150	150
AL	SRR9034695.517097	OG0001109	AL|XP_043794209.1	300	16	166	150	150
AL	SRR9034695.517404	OG0001109	AL|XP_043794209.1	288	67	217	148	150
AL	SRR9034695.517570	OG0001109	AL|XP_043794209.1	172	111	242	122	131
AL	SRR9034695.518197	OG0001109	AL|XP_043794209.1	282	0	141	141	141
AL	SRR9034695.518334	OG0001109	AL|XP_043794209.1	268	40	190	146	150
AL	SRR9034695.518973	OG0001109	AL|XP_043794209.1	266	53	201	145	148
AL	SRR9034695.519829	OG0001109	AL|XP_043794209.1	246	5	155	144	150
AL	SRR9034695.520284	OG0001109	AL|XP_043794209.1	190	0	147	136	147
AL	SRR9034695.520974	OG0001109	AL|XP_043794209.1	248	44	194	144	150
AL	SRR9034695.522892	OG0001109	AL|XP_043794209.1	300	48	198	150	150
AL	SRR9034695.522975	OG0001109	AL|XP_043794209.1	260	45	195	146	150
AL	SRR9034695.523122	OG0001109	AL|XP_043794209.1	286	0	148	147	148
AL	SRR9034695.523511	OG0001109	AL|XP_043794209.1	232	0	127	124	127
AL	SRR9034695.525124	OG0001109	AL|XP_043794209.1	248	0	134	132	134
AL	SRR9034695.525656	OG0001109	AL|XP_043794209.1	290	150	300	149	150
AL	SRR9034695.527435	OG0001109	AL|XP_043794209.1	300	95	245	150	150
AL	SRR9034695.528445	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.532174	OG0001109	AL|XP_043794209.1	206	175	303	123	128
AL	SRR9034695.532739	OG0001109	AL|XP_043794209.1	232	154	303	142	149
AL	SRR9034695.533125	OG0001109	AL|XP_043794209.1	206	33	183	140	150
AL	SRR9034695.534316	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.534346	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.534803	OG0001109	AL|XP_043794209.1	240	126	276	144	150
AL	SRR9034695.535776	OG0001109	AL|XP_043794209.1	300	4	154	150	150
AL	SRR9034695.535786	OG0001109	AL|XP_043794209.1	290	2	152	149	150
AL	SRR9034695.535840	OG0001109	AL|XP_043794209.1	282	149	295	145	146
AL	SRR9034695.536129	OG0001109	AL|XP_043794209.1	280	158	303	144	145
AL	SRR9034695.536642	OG0001109	AL|XP_043794209.1	290	115	265	149	150
AL	SRR9034695.536917	OG0001109	AL|XP_043794209.1	178	170	303	124	133
AL	SRR9034695.537578	OG0001109	AL|XP_043794209.1	240	18	177	146	158
AL	SRR9034695.539591	OG0001109	AL|XP_043794209.1	266	163	302	137	138
AL	SRR9034695.540660	OG0001109	AL|XP_043794209.1	270	103	253	147	150
AL	SRR9034695.541133	OG0001109	AL|XP_043794209.1	266	110	260	146	150
AL	SRR9034695.542112	OG0001109	AL|XP_043794209.1	278	154	303	147	149
AL	SRR9034695.542151	OG0001109	AL|XP_043794209.1	300	91	241	150	150
AL	SRR9034695.542249	OG0001109	AL|XP_043794209.1	278	154	303	147	149
AL	SRR9034695.542923	OG0001109	AL|XP_043794209.1	260	126	276	146	150
AL	SRR9034695.543074	OG0001109	AL|XP_043794209.1	268	0	139	138	139
AL	SRR9034695.545594	OG0001109	AL|XP_043794209.1	290	116	266	149	150
AL	SRR9034695.545854	OG0001109	AL|XP_043794209.1	210	183	303	117	120
AL	SRR9034695.546101	OG0001109	AL|XP_043794209.1	284	101	251	148	150
AL	SRR9034695.548543	OG0001109	AL|XP_043794209.1	270	0	145	143	145
AL	SRR9034695.548554	OG0001109	AL|XP_043794209.1	250	168	303	133	135
AL	SRR9034695.549323	OG0001109	AL|XP_043794209.1	240	0	120	120	120
AL	SRR9034695.549407	OG0001109	AL|XP_043794209.1	290	48	198	149	150
AL	SRR9034695.549506	OG0001109	AL|XP_043794209.1	228	78	228	142	150
AL	SRR9034695.549803	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.550255	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.551056	OG0001109	AL|XP_043794209.1	300	1	151	150	150
AL	SRR9034695.551994	OG0001109	AL|XP_043794209.1	226	0	128	125	128
AL	SRR9034695.552049	OG0001109	AL|XP_043794209.1	230	106	256	143	150
AL	SRR9034695.553211	OG0001109	AL|XP_043794209.1	230	29	179	143	150
AL	SRR9034695.553786	OG0001109	AL|XP_043794209.1	258	0	139	137	139
AL	SRR9034695.556151	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.556542	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.556582	OG0001109	AL|XP_043794209.1	220	60	210	142	150
AL	SRR9034695.557666	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.557818	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.559537	OG0001109	AL|XP_043794209.1	258	0	139	137	139
AL	SRR9034695.559730	OG0001109	AL|XP_043794209.1	290	29	179	149	150
AL	SRR9034695.559845	OG0001109	AL|XP_043794209.1	290	111	261	149	150
AL	SRR9034695.560399	OG0001109	AL|XP_043794209.1	260	102	252	146	150
AL	SRR9034695.560731	OG0001109	AL|XP_043794209.1	270	6	156	147	150
AL	SRR9034695.560948	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.561328	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.562159	OG0001109	AL|XP_043794209.1	270	33	183	147	150
AL	SRR9034695.562290	OG0001109	AL|XP_043794209.1	240	168	303	132	135
AL	SRR9034695.562520	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.563885	OG0001109	AL|XP_043794209.1	300	43	193	150	150
AL	SRR9034695.564884	OG0001109	AL|XP_043794209.1	266	170	303	133	133
AL	SRR9034695.565479	OG0001109	AL|XP_043794209.1	246	165	303	135	138
AL	SRR9034695.566751	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.567800	OG0001109	AL|XP_043794209.1	290	5	155	149	150
AL	SRR9034695.567993	OG0001109	AL|XP_043794209.1	290	53	203	149	150
AL	SRR9034695.574817	OG0001109	AL|XP_043794209.1	236	175	303	126	128
AL	SRR9034695.576737	OG0001109	AL|XP_043794209.1	236	175	303	126	128
AL	SRR9034695.576888	OG0001109	AL|XP_043794209.1	300	116	266	150	150
AL	SRR9034695.577031	OG0001109	AL|XP_043794209.1	300	25	175	150	150
AL	SRR9034695.577238	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.579280	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.579876	OG0001109	AL|XP_043794209.1	300	10	160	150	150
AL	SRR9034695.580652	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.580895	OG0001109	AL|XP_043794209.1	282	0	141	141	141
AL	SRR9034695.581242	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.581541	OG0001109	AL|XP_043794209.1	300	58	208	150	150
AL	SRR9034695.582564	OG0001109	AL|XP_043794209.1	232	0	139	134	139
AL	SRR9034695.583433	OG0001109	AL|XP_043794209.1	244	181	303	122	122
AL	SRR9034695.583869	OG0001109	AL|XP_043794209.1	236	183	303	119	120
AL	SRR9034695.584130	OG0001109	AL|XP_043794209.1	286	155	303	147	148
AL	SRR9034695.584256	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.585735	OG0001109	AL|XP_043794209.1	278	0	145	143	145
AL	SRR9034695.586098	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.586117	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.586209	OG0001109	AL|XP_043794209.1	290	90	240	149	150
AL	SRR9034695.586269	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.586316	OG0001109	AL|XP_043794209.1	270	168	303	135	135
AL	SRR9034695.586558	OG0001109	AL|XP_043794209.1	300	62	212	150	150
AL	SRR9034695.586823	OG0001109	AL|XP_043794209.1	290	58	208	149	150
AL	SRR9034695.586953	OG0001109	AL|XP_043794209.1	300	111	261	150	150
AL	SRR9034695.587164	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.589011	OG0001109	AL|XP_043794209.1	300	110	260	150	150
AL	SRR9034695.589758	OG0001109	AL|XP_043794209.1	214	171	303	127	132
AL	SRR9034695.589840	OG0001109	AL|XP_043794209.1	300	29	179	150	150
AL	SRR9034695.590129	OG0001109	AL|XP_043794209.1	300	111	261	150	150
AL	SRR9034695.591309	OG0001109	AL|XP_043794209.1	246	180	303	123	123
AL	SRR9034695.591562	OG0001109	AL|XP_043794209.1	290	58	208	149	150
AL	SRR9034695.591714	OG0001109	AL|XP_043794209.1	300	48	198	150	150
AL	SRR9034695.591754	OG0001109	AL|XP_043794209.1	280	53	203	148	150
AL	SRR9034695.592087	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.592192	OG0001109	AL|XP_043794209.1	270	90	240	147	150
AL	SRR9034695.592216	OG0001109	AL|XP_043794209.1	290	89	239	149	150
AL	SRR9034695.592410	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.592607	OG0001109	AL|XP_043794209.1	290	126	276	149	150
AL	SRR9034695.592645	OG0001109	AL|XP_043794209.1	280	48	198	148	150
AL	SRR9034695.593092	OG0001109	AL|XP_043794209.1	278	0	145	143	145
AL	SRR9034695.594668	OG0001109	AL|XP_043794209.1	300	102	252	150	150
AL	SRR9034695.595407	OG0001109	AL|XP_043794209.1	244	181	303	122	122
AL	SRR9034695.596823	OG0001109	AL|XP_043794209.1	290	12	162	149	150
AL	SRR9034695.596978	OG0001109	AL|XP_043794209.1	290	158	303	145	145
AL	SRR9034695.597978	OG0001109	AL|XP_043794209.1	278	92	242	147	150
AL	SRR9034695.598411	OG0001109	AL|XP_043794209.1	290	150	300	149	150
AL	SRR9034695.598443	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.598523	OG0001109	AL|XP_043794209.1	266	170	303	133	133
AL	SRR9034695.599677	OG0001109	AL|XP_043794209.1	300	149	299	150	150
AL	SRR9034695.599968	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.600090	OG0001109	AL|XP_043794209.1	300	28	178	150	150
AL	SRR9034695.600171	OG0001109	AL|XP_043794209.1	290	150	300	149	150
AL	SRR9034695.600267	OG0001109	AL|XP_043794209.1	246	0	138	135	138
AL	SRR9034695.600415	OG0001109	AL|XP_043794209.1	272	0	141	140	141
AL	SRR9034695.600581	OG0001109	AL|XP_043794209.1	290	99	249	149	150
AL	SRR9034695.601228	OG0001109	AL|XP_043794209.1	276	165	303	138	138
AL	SRR9034695.601348	OG0001109	AL|XP_043794209.1	300	145	295	150	150
AL	SRR9034695.601514	OG0001109	AL|XP_043794209.1	290	1	151	149	150
AL	SRR9034695.603288	OG0001109	AL|XP_043794209.1	300	6	156	150	150
AL	SRR9034695.603301	OG0001109	AL|XP_043794209.1	300	89	239	150	150
AL	SRR9034695.604357	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.605443	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.605885	OG0001109	AL|XP_043794209.1	274	166	303	137	137
AL	SRR9034695.606157	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.606292	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.606757	OG0001109	AL|XP_043794209.1	300	99	249	150	150
AL	SRR9034695.607434	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.609204	OG0001109	AL|XP_043794209.1	242	182	303	121	121
AL	SRR9034695.609317	OG0001109	AL|XP_043794209.1	300	17	167	150	150
AL	SRR9034695.610057	OG0001109	AL|XP_043794209.1	300	91	241	150	150
AL	SRR9034695.610786	OG0001109	AL|XP_043794209.1	294	0	147	147	147
AL	SRR9034695.611416	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.612577	OG0001109	AL|XP_043794209.1	288	0	144	144	144
AL	SRR9034695.613509	OG0001109	AL|XP_043794209.1	300	35	185	150	150
AL	SRR9034695.613809	OG0001109	AL|XP_043794209.1	300	108	258	150	150
AL	SRR9034695.614214	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.614327	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.614679	OG0001109	AL|XP_043794209.1	300	123	273	150	150
AL	SRR9034695.615200	OG0001109	AL|XP_043794209.1	300	16	166	150	150
AL	SRR9034695.615353	OG0001109	AL|XP_043794209.1	300	98	248	150	150
AL	SRR9034695.615634	OG0001109	AL|XP_043794209.1	300	60	210	150	150
AL	SRR9034695.616239	OG0001109	AL|XP_043794209.1	300	55	205	150	150
AL	SRR9034695.619092	OG0001109	AL|XP_043794209.1	300	18	168	150	150
AL	SRR9034695.619134	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.619321	OG0001109	AL|XP_043794209.1	300	82	232	150	150
AL	SRR9034695.622219	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.623141	OG0001109	AL|XP_043794209.1	266	170	303	133	133
AL	SRR9034695.623159	OG0001109	AL|XP_043794209.1	300	117	267	150	150
AL	SRR9034695.623239	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.623668	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.623812	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.624449	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.624663	OG0001109	AL|XP_043794209.1	270	5	155	147	150
AL	SRR9034695.625083	OG0001109	AL|XP_043794209.1	290	0	150	149	150
AL	SRR9034695.625770	OG0001109	AL|XP_043794209.1	300	24	174	150	150
AL	SRR9034695.625787	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.626345	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.626446	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.626816	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.626825	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.626838	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.627088	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.628278	OG0001109	AL|XP_043794209.1	298	154	303	149	149
AL	SRR9034695.628333	OG0001109	AL|XP_043794209.1	290	99	249	149	150
AL	SRR9034695.628485	OG0001109	AL|XP_043794209.1	300	1	151	150	150
AL	SRR9034695.628853	OG0001109	AL|XP_043794209.1	256	170	303	132	133
AL	SRR9034695.629585	OG0001109	AL|XP_043794209.1	290	137	287	149	150
AL	SRR9034695.631476	OG0001109	AL|XP_043794209.1	300	84	234	150	150
AL	SRR9034695.631629	OG0001109	AL|XP_043794209.1	300	84	234	150	150
AL	SRR9034695.632712	OG0001109	AL|XP_043794209.1	300	53	203	150	150
AL	SRR9034695.633567	OG0001109	AL|XP_043794209.1	240	0	120	120	120
AL	SRR9034695.633789	OG0001109	AL|XP_043794209.1	300	10	160	150	150
AL	SRR9034695.636481	OG0001109	AL|XP_043794209.1	300	105	255	150	150
AL	SRR9034695.638002	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.639387	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.644314	OG0001109	AL|XP_043794209.1	300	115	265	150	150
AL	SRR9034695.644882	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.645103	OG0001109	AL|XP_043794209.1	290	92	242	149	150
AL	SRR9034695.646700	OG0001109	AL|XP_043794209.1	296	0	148	148	148
AL	SRR9034695.647070	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.650359	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.651186	OG0001109	AL|XP_043794209.1	300	2	152	150	150
AL	SRR9034695.651875	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.652020	OG0001109	AL|XP_043794209.1	260	0	130	130	130
AL	SRR9034695.652242	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.652299	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.653748	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.655041	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.655676	OG0001109	AL|XP_043794209.1	300	112	262	150	150
AL	SRR9034695.656665	OG0001109	AL|XP_043794209.1	260	168	303	134	135
AL	SRR9034695.656696	OG0001109	AL|XP_043794209.1	280	0	145	144	145
AL	SRR9034695.657868	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.658440	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.658997	OG0001109	AL|XP_043794209.1	270	168	303	135	135
AL	SRR9034695.659254	OG0001109	AL|XP_043794209.1	230	0	120	119	120
AL	SRR9034695.659367	OG0001109	AL|XP_043794209.1	260	0	130	130	130
AL	SRR9034695.659659	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.659944	OG0001109	AL|XP_043794209.1	260	0	130	130	130
AL	SRR9034695.660247	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.661087	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.661131	OG0001109	AL|XP_043794209.1	300	17	167	150	150
AL	SRR9034695.661233	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.661508	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.662193	OG0001109	AL|XP_043794209.1	290	6	156	149	150
AL	SRR9034695.663118	OG0001109	AL|XP_043794209.1	300	133	283	150	150
AL	SRR9034695.663746	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.667509	OG0001109	AL|XP_043794209.1	280	163	303	140	140
AL	SRR9034695.667545	OG0001109	AL|XP_043794209.1	300	93	243	150	150
AL	SRR9034695.667863	OG0001109	AL|XP_043794209.1	300	74	224	150	150
AL	SRR9034695.668382	OG0001109	AL|XP_043794209.1	300	92	242	150	150
AL	SRR9034695.669460	OG0001109	AL|XP_043794209.1	300	102	252	150	150
AL	SRR9034695.669880	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.670581	OG0001109	AL|XP_043794209.1	300	1	151	150	150
AL	SRR9034695.674605	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.675277	OG0001109	AL|XP_043794209.1	300	126	276	150	150
AL	SRR9034695.675369	OG0001109	AL|XP_043794209.1	290	58	208	149	150
AL	SRR9034695.675587	OG0001109	AL|XP_043794209.1	300	150	300	150	150
AL	SRR9034695.675669	OG0001109	AL|XP_043794209.1	300	94	244	150	150
AL	SRR9034695.676310	OG0001109	AL|XP_043794209.1	300	142	292	150	150
AL	SRR9034695.676477	OG0001109	AL|XP_043794209.1	280	53	203	148	150
AL	SRR9034695.676803	OG0001109	AL|XP_043794209.1	300	135	285	150	150
AL	SRR9034695.677979	OG0001109	AL|XP_043794209.1	300	17	167	150	150
AL	SRR9034695.681003	OG0001109	AL|XP_043794209.1	280	98	248	148	150
AL	SRR9034695.681242	OG0001109	AL|XP_043794209.1	300	90	240	150	150
AL	SRR9034695.681273	OG0001109	AL|XP_043794209.1	280	53	203	148	150
AL	SRR9034695.682021	OG0001109	AL|XP_043794209.1	300	118	268	150	150
AL	SRR9034695.682451	OG0001109	AL|XP_043794209.1	300	137	287	150	150
AL	SRR9034695.682554	OG0001109	AL|XP_043794209.1	300	118	268	150	150
AL	SRR9034695.682623	OG0001109	AL|XP_043794209.1	300	12	162	150	150
AL	SRR9034695.684248	OG0001109	AL|XP_043794209.1	248	179	303	124	124
AL	SRR9034695.684393	OG0001109	AL|XP_043794209.1	248	179	303	124	124
AL	SRR9034695.686066	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.686201	OG0001109	AL|XP_043794209.1	288	159	303	144	144
AL	SRR9034695.686281	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.686309	OG0001109	AL|XP_043794209.1	300	65	215	150	150
AL	SRR9034695.686379	OG0001109	AL|XP_043794209.1	300	128	278	150	150
AL	SRR9034695.686639	OG0001109	AL|XP_043794209.1	278	164	303	139	139
AL	SRR9034695.686868	OG0001109	AL|XP_043794209.1	236	175	303	126	128
AL	SRR9034695.687130	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.687277	OG0001109	AL|XP_043794209.1	300	65	215	150	150
AL	SRR9034695.687492	OG0001109	AL|XP_043794209.1	274	122	271	148	150
AL	SRR9034695.687994	OG0001109	AL|XP_043794209.1	286	0	148	147	148
AL	SRR9034695.688097	OG0001109	AL|XP_043794209.1	288	159	303	144	144
AL	SRR9034695.688230	OG0001109	AL|XP_043794209.1	300	84	234	150	150
AL	SRR9034695.688379	OG0001109	AL|XP_043794209.1	290	0	145	145	145
AL	SRR9034695.688450	OG0001109	AL|XP_043794209.1	300	103	253	150	150
AL	SRR9034695.689315	OG0001109	AL|XP_043794209.1	284	0	147	146	147
AL	SRR9034695.689316	OG0001109	AL|XP_043794209.1	284	0	147	146	147
AL	SRR9034695.689331	OG0001109	AL|XP_043794209.1	300	121	271	150	150
AL	SRR9034695.689345	OG0001109	AL|XP_043794209.1	286	0	148	147	148
AL	SRR9034695.691330	OG0001109	AL|XP_043794209.1	300	33	183	150	150
AL	SRR9034695.691827	OG0001109	AL|XP_043794209.1	256	175	303	128	128
AL	SRR9034695.692534	OG0001109	AL|XP_043794209.1	296	155	303	148	148
AL	SRR9034695.693639	OG0001109	AL|XP_043794209.1	290	0	145	145	145
