Orthogroup	Apis_cerana	Apis_dorsata	Apis_florea	Apis_laboriosa	Apis_mellifera	Bombus_terrestris
OG0002670	XP_061932233.1	XP_006618793.1	XP_003693919.2	XP_043801035.1	XP_026296905.1	XP_012164964.1
OG0002671	XP_061932195.1	XP_006618796.1	XP_086766928.1	XP_043801078.1	XP_006565466.2	XP_048262658.1
OG0002672	XP_016905926.1	XP_006613143.1	XP_012342472.1	XP_043799824.1	XP_006568303.1	XP_012164848.1
OG0002673	XP_016905930.2	XP_031367814.1	XP_012342363.2	XP_043801011.1	XP_006565461.1	XP_020719125.2
OG0002674	XP_016905932.1	XP_006618789.1	XP_012342365.1	XP_043801012.1	XP_006565462.1	XP_012164963.1
OG0002675	XP_016905934.1	XP_006618786.1	XP_003694034.1	XP_043801032.1	XP_001121169.2	XP_012164569.1
OG0002676	XP_028520567.2	XP_031365115.1	XP_086766914.1	XP_043799841.1	XP_016768345.2	XP_048262682.1
OG0002677	XP_028520589.2	XP_031365093.1	XP_012342241.2	XP_043799816.1	XP_026297322.1	XP_048262402.1
OG0002678	XP_016905944.1	XP_006613151.1	XP_003693876.2	XP_043799814.1	XP_003251208.1	XP_003396022.1
OG0002679	XP_061928338.1	XP_031368247.1	XP_086765858.1	XP_043788475.1	XP_006559757.1	XP_003394444.1
OG0002680	XP_016905957.2	XP_006608384.1	XP_031775757.2	XP_043788410.1	XP_001121719.3	XP_012176410.2
OG0002681	XP_016905966.1	XP_006609813.1	XP_031775778.1	XP_043788284.1	XP_026295251.1	XP_003394552.1
OG0002682	XP_016905975.1	XP_031371259.1	XP_003690296.1	XP_043789417.1	XP_001122667.2	XP_048264416.1
OG0002683	XP_061928357.1	XP_006609802.1	XP_031775776.2	XP_043788424.1	XP_006560560.2	XP_020724315.2
OG0002684	XP_016905979.1	XP_006609818.1	XP_012349399.1	XP_043788403.1	XP_001122586.2	XP_003394554.3
OG0002685	XP_016905985.1	XP_006609824.1	XP_086765874.1	XP_043788339.1	XP_016766858.1	XP_012176362.2
OG0002686	XP_061928358.1	XP_006609821.1	XP_086765883.1	XP_043788342.1	XP_003249558.1	XP_020724174.1
OG0002687	XP_016905996.1	XP_006609819.1	XP_003698580.3	XP_043788343.1	XP_016766862.1	XP_020724175.2
OG0002688	XP_016906005.2	XP_006610148.1	XP_003690454.1	XP_043789750.1	XP_003249973.1	XP_003397823.1
OG0002689	XP_016906001.1	XP_006609828.1	XP_003698736.1	XP_043788348.1	XP_395877.1	XP_003394559.1
OG0002690	XP_016906002.2	XP_006608402.1	XP_086765831.1	XP_043788294.1	XP_397465.5	XP_048260190.1
OG0002691	XP_016906009.1	XP_006608401.1	XP_086765887.1	XP_043788302.1	XP_006559778.1	XP_003394479.1
OG0002692	XP_016906016.1	XP_006608408.1	XP_003698574.2	XP_043788373.1	XP_026295666.1	XP_012176396.1
OG0002693	XP_016906020.1	XP_006608423.1	XP_012349116.1	XP_043788422.1	XP_625253.1	XP_003394451.1
OG0002694	XP_016906028.1	XP_006608406.1	XP_003698722.1	XP_043788460.1	XP_001121891.1	XP_003394461.1
OG0002695	XP_061928285.1	XP_006608394.1	XP_086765907.1	XP_043788303.1	XP_026295392.1	XP_003394471.1
OG0002696	XP_016906037.1	XP_006608395.1	XP_086765930.1	XP_043788307.1	XP_006559788.2	XP_003394477.1
OG0002697	XP_016906041.1	XP_031368224.1	XP_086765863.1	XP_043788318.1	XP_006559768.1	XP_020724294.2
OG0002698	XP_028519816.1	XP_006621213.1	XP_012347753.1	XP_043795114.1	XP_392553.1	XP_003397603.1
OG0002699	XP_016906047.1	XP_031368119.1	XP_086765862.1	XP_043788412.1	XP_006559775.2	XP_003394531.1
OG0002700	XP_016906052.1	XP_006608397.1	XP_086765909.1	XP_043788499.1	XP_006559790.2	XP_012176415.1
OG0002701	XP_016906058.2	XP_006608390.1	XP_086765915.1	XP_043788313.1	XP_016766685.1	XP_003394473.1
OG0002702	XP_016906061.1	XP_006619381.1	XP_086762139.1	XP_043796674.1	XP_016769257.1	XP_003401714.1
OG0002703	XP_016906066.2	XP_031368147.1	XP_086762145.1	XP_043796678.1	XP_006564759.1	XP_003401717.1
OG0002704	XP_061935789.1	XP_006621043.1	XP_003695767.1	XP_043791803.1	XP_026298499.1	XP_003401828.1
OG0002705	XP_016906078.2	XP_006611845.1	XP_086760140.1	XP_043802344.1	XP_026296111.1	XP_020723345.2
OG0002706	XP_061935801.1	XP_006621052.1	XP_003695775.2	XP_043791802.1	XP_001123300.3	XP_003401945.1
OG0002707	XP_016906101.2	XP_031364496.1	XP_086759928.1	XP_043802094.1	XP_016767111.1	XP_048261428.1
OG0002708	XP_016906107.1	XP_006611862.1	XP_012341671.2	XP_043801821.1	XP_006567217.2	XP_003395112.2
OG0002709	XP_016906109.1	XP_031364508.1	XP_086759946.1	XP_043801822.1	XP_026295870.1	XP_003395099.2
OG0002710	XP_016906113.2	XP_031364464.1	XP_086759942.1	XP_043801784.1	XP_016767321.1	XP_020718328.2
OG0002711	XP_016906125.1	XP_006609692.1	XP_086770520.1	XP_043794954.1	XP_016771299.2	XP_012170761.1
OG0002712	XP_061935811.1	XP_031368935.1	XP_086771074.1	XP_043791728.1	XP_026298420.1	XP_003401942.1
OG0002713	XP_061939144.1	XP_031364070.1	XP_086763647.1	XP_043804112.1	XP_016770889.1	XP_048266911.1
OG0002714	XP_016906156.1	XP_031364076.1	XP_012347135.1	XP_043803944.1	XP_003250974.1	XP_012170303.1
OG0002715	XP_016906158.1	XP_006610846.1	XP_031774880.1	XP_043803945.1	XP_006566942.2	XP_003399769.1
OG0002716	XP_016906160.2	XP_006610839.1	XP_012347077.2	XP_043803907.1	XP_006566937.1	XP_012170297.2
OG0002717	XP_016906165.2	XP_006621075.1	XP_012347438.3	XP_043791720.1	XP_026298832.1	XP_012173403.2
OG0002718	XP_016906166.1	XP_031364080.1	XP_012347083.1	XP_043803909.1	XP_393875.1	XP_012170298.1
OG0002719	XP_016906177.1	XP_006621933.1	XP_003690064.1	XP_043802172.1	XP_395538.2	XP_048260836.1
OG0002720	XP_016906179.1	XP_031369294.1	XP_003690065.3	XP_043801919.1	XP_003251012.1	XP_003402495.1
OG0002721	XP_061932026.1	XP_006624781.1	XP_012348763.1	XP_043800946.1	XP_016768290.1	XP_048262766.1
OG0002722	XP_016906193.1	XP_006618439.1	XP_003694810.4	XP_043785426.1	XP_394017.3	XP_003400599.1
OG0002723	XP_061935830.1	XP_006620173.1	XP_086771090.1	XP_043791860.1	XP_395427.3	XP_003402097.1
OG0002724	XP_061933424.1	XP_031368089.1		XP_043784293.1	XP_006557363.2	XP_003397302.2, XP_012166672.1
OG0002725	XP_016906219.1	XP_006608462.1	XP_086768425.1	XP_043804353.1	XP_006571179.1	XP_003393495.2
OG0002726	XP_061935836.1	XP_031368454.1	XP_086771101.1	XP_043791905.1	XP_026298452.1	XP_048269809.1
OG0002727	XP_016906222.1	XP_006608460.1	XP_012346933.1	XP_043804356.1	XP_397475.2	XP_003393496.1
OG0002728	XP_016906230.1	XP_006608452.1	XP_003697291.1	XP_043804366.1	XP_001120805.1	XP_003393171.1
OG0002729	XP_061935863.1	XP_006623606.1	XP_003697624.2	XP_043791810.1	XP_001122110.2	XP_003397742.2
OG0002730	XP_016906270.1	XP_031369645.1	XP_031775322.1	XP_043803727.1	XP_016772983.2	XP_048264896.1
OG0002731	XP_016906272.2	XP_006622742.2	XP_086772834.1	XP_043803729.1	XP_026301985.1	XP_012168733.3
OG0002732	XP_061930318.1	XP_006623976.1	XP_086772879.1	XP_043803608.1	XP_016771951.1	XP_003393502.2
OG0002733	XP_061930036.1	XP_006625255.1	XP_086772859.1	XP_043803582.1	XP_026301955.1	XP_003393499.3
OG0002734	XP_061930240.1	XP_031369635.1	XP_086772838.1	XP_043803418.1	XP_006572280.2	XP_003393457.1
OG0002735	XP_061932131.1	XP_006608797.1	XP_086763508.1	XP_043800682.1	XP_026297332.1	XP_048262777.1
OG0002736	XP_016906305.2	XP_031364876.1	XP_012343601.3	XP_043785312.1	XP_026300848.1	XP_012171167.2
OG0002737	XP_016906306.1	XP_006622730.2	XP_086772857.1	XP_043803521.1	XP_392816.2	XP_003393453.2
OG0002738	XP_028520713.2	XP_006623132.1	XP_086770967.1	XP_043802966.1	XP_006561143.2	XP_003393556.1
OG0002739	XP_016906310.2	XP_031369825.1	XP_012347781.1	XP_043802970.1	XP_003249819.2	XP_003393557.2
OG0002740	XP_016906312.2	XP_006619922.1	XP_012344706.1	XP_043795614.1	XP_623407.3	XP_048265609.1
OG0002741	XP_061932349.1	XP_006620392.1	XP_012342426.3	XP_043800167.1	XP_026297026.1	XP_012166747.1
OG0002742	XP_061932340.1	XP_031368566.1	XP_086767282.1	XP_043799798.1	XP_026297049.1	XP_048264423.1
OG0002743	XP_061932385.1	XP_006614856.1	XP_012342484.2	XP_043800403.1	XP_623489.2	XP_003396174.1
OG0002744	XP_061932498.1	XP_006623553.1	XP_003694030.1	XP_043799976.1	XP_396275.3	XP_003396015.1
OG0002745	XP_016906332.1	XP_006615887.1	XP_012342159.3	XP_043800189.1	XP_026297187.1	XP_048262512.1
OG0002746	XP_016906335.1	XP_006623564.1	XP_086767409.1	XP_043800345.1	XP_624337.2	XP_003396041.1
OG0002747	XP_061932405.1	XP_006623522.1	XP_086767348.1	XP_043799840.1	XP_395342.4	XP_003396157.1
OG0002748	XP_016906342.1	XP_006620370.1	XP_086767269.1	XP_043800099.1	XP_001120114.2	XP_012164864.1
OG0002749	XP_061938561.1	XP_006621399.1	XP_086761393.1	XP_043798679.1	XP_624018.4	XP_048266071.1
OG0002750	XP_016906350.1	XP_031368564.1	XP_012342213.1	XP_043799805.1	XP_006572582.2	XP_012167046.2
OG0002751	XP_061932510.1	XP_006613372.2	XP_086767423.1	XP_043800235.1	XP_026296958.1	XP_012164741.2
OG0002752	XP_016906359.1	XP_006620384.1	XP_003693862.1	XP_043799974.1	XP_006570028.1	XP_012166739.1
OG0002753	XP_061932351.1	XP_006620379.2	XP_012342191.2	XP_043800010.1	XP_624584.4	XP_003397420.2
OG0002754	XP_061938475.1	XP_031369212.1	XP_086761457.1	XP_043798692.1	XP_006570455.2	XP_048266255.1
OG0002755	XP_016906371.2	XP_006623537.1	XP_086767369.1	XP_043799982.1	XP_006562505.1	XP_012164775.2
OG0002756	XP_016906376.1	XP_006623551.1	XP_003693824.1	XP_043800139.1	XP_003250111.1	XP_003396127.1
OG0002757	XP_061932381.1	XP_006614849.2	XP_031772560.1	XP_043800257.1	XP_026297152.1	XP_003396010.2
OG0002758	XP_016906382.1	XP_006614830.2	XP_003693847.1	XP_043799776.1	XP_006562485.1	XP_003396173.1
OG0002759	XP_016906384.1	XP_006614829.1	XP_012342419.2	XP_043800101.1	XP_003250098.2	XP_003396166.1
OG0002760	XP_016906425.1	XP_006607850.1	XP_003690326.1	XP_043789600.1	XP_392837.4	XP_003397433.1
OG0002761	XP_016906407.2	XP_006617420.2	XP_012347470.1	XP_043791823.1	XP_624344.3	XP_003397704.1
OG0002762	XP_061932513.1	XP_031365197.1	XP_086767414.1	XP_043800238.1	XP_026297231.1	XP_003395993.1
OG0002763	XP_016906414.2	XP_006623517.1	XP_031772448.2	XP_043799970.1	XP_006562493.2	XP_012164787.2
OG0002764	XP_016906418.2	XP_031369974.1	XP_012342440.2	XP_043799972.1	XP_026296919.1	XP_003396161.2
OG0002765	XP_061932417.1	XP_031369984.1	XP_086767347.1	XP_043800114.1	XP_016768377.1	XP_048262514.1
OG0002766	XP_016906421.2	XP_006623521.1	XP_003693832.1	XP_043799837.1	XP_625001.2	XP_012164786.1
OG0002767	XP_016906423.1	XP_006623547.1	XP_012342406.2	XP_043800009.1	XP_003250114.1	XP_020719017.2
OG0002768	XP_016906427.1	XP_031365198.1	XP_086767418.1	XP_043800098.1	XP_006562530.1	XP_003396139.1
OG0002769	XP_061932468.1	XP_006623549.1	XP_031772619.2	XP_043800004.1	XP_006562508.2	XP_012164772.2
OG0002770	XP_061932402.1	XP_006623523.2	XP_003693997.3	XP_043799955.1	XP_003250108.1	XP_003396155.1
OG0002771	XP_016906434.1	XP_006623529.1	XP_012342448.1	XP_043799800.1	XP_394861.4	XP_003396151.2
OG0002772	XP_061932382.1	XP_031365867.1	XP_086767323.1	XP_043799791.1	XP_623585.4	XP_003396000.2
OG0002773	XP_061932477.1	XP_006623556.1	XP_086767401.1	XP_043799786.1	XP_016768293.1	XP_020719027.1
OG0002774	XP_061932516.1	XP_031366407.1	XP_031772533.2	XP_043799861.1	XP_026297024.1	XP_003395990.1
OG0002775	XP_016906457.1	XP_006620388.1	XP_003693856.1	XP_043799918.1	XP_393467.3	XP_020720219.1
OG0002776	XP_016906462.1	XP_006613367.1	XP_003693985.2	XP_043800096.1	XP_016768359.1	XP_048262576.1
OG0002777	XP_028520748.2	XP_031365113.1	XP_012342170.2	XP_043800201.1	XP_006568298.3	XP_048262263.1
OG0002778	XP_016906467.1	XP_006623607.1	XP_086771049.1	XP_043791706.1	XP_396143.4	XP_003401834.3
OG0002779	XP_061937052.1	XP_031364929.1	XP_086760227.1	XP_043797821.1	XP_026298877.1	XP_048265665.1
OG0002780	XP_016906477.2	XP_006621423.1	XP_003693256.1	XP_043798471.1	XP_391879.2	XP_012168649.2
OG0002781	XP_061935833.1	XP_031368464.1	XP_086771092.1	XP_043791861.1	XP_026298451.1	XP_048269571.1
OG0002782	XP_061933724.1	XP_006624086.1	XP_086759101.1	XP_043801606.1	XP_016772822.2	XP_003396924.1
OG0002783	XP_061935103.1	XP_006622264.1	XP_086760328.1	XP_043795035.1	XP_003249913.2	XP_048264940.1
OG0002784	XP_016906494.1	XP_006623268.1	XP_012347582.1	XP_043791749.1	XP_625242.2	XP_003397609.1
OG0002785	XP_061933736.1	XP_006624718.1	XP_003695298.1	XP_043801617.1	XP_393191.2	XP_048263583.1
OG0002786	XP_016906511.1	XP_006609998.1	XP_012339025.1	XP_043784229.1	XP_396986.3	XP_003398443.1
OG0002787	XP_061936582.1	XP_006612992.1	XP_003692722.1	XP_043791328.1	XP_003251327.1	XP_003403347.1
OG0002788	XP_016906515.1	XP_006621457.2	XP_012341379.1	XP_043798306.1	XP_026299432.1	XP_003398798.2
OG0002789	XP_016906518.1	XP_006621899.1	XP_012345973.1	XP_043792419.1	XP_395902.2	XP_003395604.1
OG0002790	XP_061933219.1	XP_006625170.1	XP_086771937.1	XP_043795258.1	XP_026296644.1	XP_048265093.1
OG0002791	XP_016906529.1	XP_006607798.1	XP_012347774.1	XP_043803023.1	XP_392246.3	XP_012170528.1
OG0002792	XP_061927911.1	XP_006607803.1	XP_086771208.1	XP_043803183.1	XP_006561160.1	XP_003393531.2
OG0002793	XP_016906536.1	XP_006607805.1	XP_003697784.2	XP_043803209.1	XP_001122051.1	XP_003393532.1
OG0002794	XP_061927780.1	XP_006614431.1	XP_086763806.1	XP_043786483.1	XP_625258.1	XP_003393662.1
OG0002795	XP_016906549.1	XP_006620433.1	XP_086771536.1	XP_043786504.1	XP_006571077.2	XP_048264653.1
OG0002796	XP_016906552.2	XP_006620420.2	XP_012348152.1	XP_043786507.1	XP_006571061.2	XP_020721280.1
OG0002797	XP_061933002.1	XP_031368577.1	XP_031775419.2	XP_043786518.1	XP_006571068.1	XP_003393409.1
OG0002798	XP_016906566.1	XP_006608806.1	XP_003693949.2	XP_043800752.1	XP_623500.2	XP_003396079.1
OG0002799	XP_016906571.1	XP_006620417.1	XP_003698007.1	XP_043786514.1	XP_001120030.2	XP_048263549.1
OG0002800	XP_016906574.1	XP_031368579.1	XP_012348243.1	XP_043786506.1	XP_026297839.1	XP_020719482.1
OG0002801	XP_016906606.1	XP_006619804.1	XP_086759239.1	XP_043785109.1	XP_006559876.1	XP_003397234.1
OG0002802	XP_061935792.1	XP_031368929.1	XP_031773717.1	XP_043791737.1	XP_026298560.1	XP_012173430.1
OG0002803	XP_016906610.1	XP_006611990.1	XP_086770138.1	XP_043791191.1	XP_006571876.3	XP_012168382.1
OG0002804	XP_061929274.1	XP_006611992.1	XP_086770135.1	XP_043791220.1	XP_026295331.1	XP_003398577.1
OG0002805	XP_016906620.1	XP_006608794.2	XP_031772446.2	XP_043800684.1	XP_006564152.1	XP_003396069.1
OG0002806	XP_016906646.3	XP_006621879.2	XP_086760846.1	XP_043792970.1	XP_016767605.2	XP_048261778.1
OG0002807	XP_061931037.1	XP_031365380.1	XP_003696436.1	XP_043792238.1	XP_394578.4	XP_003395409.2
OG0002808	XP_028520825.2	XP_031365354.1	XP_086760732.1	XP_043793125.1	XP_026296845.1	XP_048261968.1
OG0002809	XP_061931101.1	XP_006613741.1	XP_086760719.1	XP_043792737.1	XP_016767611.2	XP_003395392.2
OG0002810	XP_016906671.2	XP_006613717.1	XP_031774143.2	XP_043792251.1	XP_003251098.2	XP_003395725.2
OG0002811	XP_061935953.1	XP_031369873.1	XP_086771006.1	XP_043791800.1	XP_006558428.1	XP_003397697.1
OG0002812	XP_016906672.1	XP_006613707.1	XP_031774379.2	XP_043792640.1	XP_026296567.1	XP_003395731.1
OG0002813	XP_016906689.1	XP_006620166.1	XP_031775032.1	XP_043791811.1	XP_006572020.1	XP_003396926.1
OG0002814	XP_061931044.1	XP_006613688.1	XP_012346051.2	XP_043792904.1	XP_006567880.1	XP_012174007.1
OG0002815	XP_061931069.1	XP_006613714.1	XP_003696665.2	XP_043792264.1	XP_003251099.1	XP_003395726.1
OG0002816	XP_016906695.2	XP_006613702.1	XP_003696674.1	XP_043793289.1	XP_016767630.1	XP_003395737.1
OG0002817	XP_061931045.1	XP_006613690.1	XP_003696430.2	XP_043792417.1	XP_003251106.1	XP_048261667.1
OG0002818	XP_028520814.1	XP_006616577.1	XP_003696778.1	XP_043792995.1	XP_016767933.1	XP_003395563.1
OG0002819	XP_016906713.1	XP_006621876.1	XP_012345981.1	XP_043792663.1	XP_006567967.1	XP_003395613.1
OG0002820	XP_016906716.1	XP_006613720.1	XP_086760745.1	XP_043792261.1	XP_392374.4	XP_003395721.2
OG0002821	XP_016906725.1	XP_006617413.1	XP_003697625.2	XP_043791859.1	XP_003251865.2	XP_003397706.1
OG0002822	XP_061930994.1	XP_006621836.1	XP_003696729.4	XP_043793283.1	XP_016767638.2	XP_020718794.2
OG0002823	XP_016906723.1	XP_006616575.1	XP_003696783.1	XP_043792918.1	XP_393310.1	XP_003395561.1
OG0002824	XP_086628157.1	XP_006616565.1	XP_031774402.2	XP_043792920.1	XP_006564812.1	XP_003395558.1
OG0002825	XP_061931002.1	XP_006623439.1	XP_003696707.1	XP_043792415.1	XP_392679.5	XP_003395818.2
OG0002826	XP_016906730.2	XP_006613672.1	XP_003696685.1	XP_043792941.1	XP_003251110.1	XP_012164384.1
OG0002827	XP_016906736.1	XP_006620185.1	XP_086771135.1	XP_043791813.1	XP_026298427.1	XP_048269895.1
OG0002828	XP_016906734.1	XP_006613667.1	XP_003696434.1	XP_043792721.1	XP_026296687.1	XP_003395851.1
OG0002829	XP_016906739.1	XP_006623430.1	XP_003696694.1	XP_043793256.1	XP_394996.5	XP_003395846.1
OG0002830	XP_016906740.1	XP_006623428.1	XP_003696695.1	XP_043793257.1	XP_001120848.2	XP_012164380.1
OG0002831	XP_016906741.1	XP_006623422.1	XP_003696730.1	XP_043792969.1	XP_001122139.1	XP_048262045.1
OG0002832	XP_061930929.1	XP_006621882.1	XP_003696740.1	XP_043792628.1	XP_003251131.2	XP_020718687.1
OG0002833	XP_016906745.2	XP_006616602.1	XP_012345900.1	XP_043793177.1	XP_016767840.1	XP_048262175.1
OG0002834	XP_016906753.2	XP_006616609.1	XP_003696769.1	XP_043793148.1	XP_026296707.1	XP_003395577.2
OG0002835	XP_016906757.1	XP_031366701.1	XP_031774285.1	XP_043793154.1	XP_016767875.1	XP_012164016.1
OG0002836	XP_016906761.3	XP_006616608.2	XP_086760648.1	XP_043793183.1	XP_026296715.1	XP_048262177.1
OG0002837	XP_016906762.1	XP_006616638.1	XP_012345908.1	XP_043793186.1	XP_006564853.1	XP_003395365.3
OG0002838	XP_061930893.1	XP_031366694.1, XP_031366709.1	XP_086760645.1	XP_043793112.1	XP_026296666.1	
OG0002839	XP_016906785.1	XP_006616580.1	XP_003696782.1	XP_043792998.1	XP_016767705.1	XP_003395565.1
OG0002840	XP_016906788.1	XP_006623417.1	XP_012345778.1	XP_043792676.1	XP_016767636.1	XP_048261834.1
OG0002841	XP_016906791.1	XP_006623416.1	XP_003696728.1	XP_043792682.1	XP_625038.2	XP_012164361.1
OG0002842	XP_016906793.1	XP_006623415.1	XP_012345774.2	XP_043792936.1	XP_003251120.1	XP_012164363.2
OG0002843	XP_061930837.1	XP_006623944.2	XP_086760878.1	XP_043792139.1	XP_006565642.2	XP_048261894.1
OG0002844	XP_016906810.1	XP_006623435.1	XP_012346034.1	XP_043793254.1	XP_006567899.1	XP_003395844.1
OG0002845	XP_016906813.2	XP_006621474.1	XP_012341250.2	XP_043799170.1	XP_016770222.2	XP_048266252.1
OG0002846	XP_061931062.1	XP_031365398.1	XP_012346085.2	XP_043793378.1	XP_003251112.1	XP_048262126.1
OG0002847	XP_016906822.1	XP_006613673.1	XP_003696688.1	XP_043792976.1	XP_003251113.1	XP_012164394.2
OG0002848	XP_016906824.1	XP_006621894.1	XP_086760853.1	XP_043792949.1	XP_001121383.2	XP_012164068.1
OG0002849	XP_016906829.1	XP_006621902.1	XP_086760855.1	XP_043793332.1	XP_006567974.1	XP_012164062.1
OG0002850	XP_061930914.1	XP_006621909.1	XP_031774325.2	XP_043792819.1	XP_016767848.2	XP_048261782.1
OG0002851	XP_016906839.2	XP_031369938.1	XP_031774369.2	XP_043792302.1	XP_026296841.1	XP_048261820.1
OG0002852	XP_016906841.1	XP_006623934.1	XP_003696754.2	XP_043793232.1	XP_392367.3	XP_012164052.1
OG0002853	XP_061930852.1	XP_031366731.1	XP_086760884.1	XP_043792459.1	XP_001120289.2	XP_020718918.2
OG0002854	XP_016906850.1	XP_006613722.1	XP_003696662.1	XP_043792260.1	XP_394584.4	XP_003395722.1
OG0002855	XP_028520820.1	XP_031366682.1	XP_003696779.2	XP_043793160.1	XP_006564825.1	XP_003395569.1
OG0002856	XP_028520821.1	XP_006616594.1	XP_012345859.1	XP_043793185.1	XP_026296502.1	XP_020718932.1
OG0002857	XP_016906866.1	XP_031369288.1	XP_003696731.1	XP_043792962.1	XP_026296720.1	XP_012164353.1
OG0002858	XP_016906874.1	XP_006621490.1	XP_086761474.1	XP_043799078.1	XP_006570451.1	XP_003399364.1
OG0002859	XP_016906871.1	XP_006616552.1	XP_031774128.1	XP_043792280.1	XP_003250526.1	XP_003395541.1
OG0002860	XP_061931015.1	XP_031369945.1	XP_086760780.1	XP_043792410.1	XP_016767832.1	XP_048262038.1
OG0002861	XP_016906900.1	XP_006616558.1	XP_012345989.2	XP_043793425.1	XP_016767570.2	XP_003395540.3
OG0002862	XP_016906902.1	XP_006616616.1	XP_031774233.2	XP_043792887.1	XP_006564855.1	XP_003395582.1
OG0002863	XP_016906904.1	XP_006616626.1	XP_086760888.1	XP_043792432.1	XP_026296847.1	XP_012164041.3
OG0002864	XP_016906906.2	XP_006623932.1	XP_003696751.2	XP_043793233.1	XP_003250682.1	XP_003395590.2
OG0002865	XP_028520835.1	XP_006623930.1	XP_003696753.1	XP_043793235.1	XP_006565633.1	XP_048261906.1
OG0002866	XP_061930976.1	XP_006621855.1	XP_012346146.3	XP_043793455.1	XP_623146.2	XP_020718862.1
OG0002867	XP_016906915.1	XP_006613733.1	XP_012345793.1	XP_043792437.1	XP_026296513.1	XP_003395715.1
OG0002868	XP_016906936.1	XP_006621873.1	XP_086760843.1	XP_043792785.1	XP_006567959.1	XP_012164327.1
OG0002869	XP_016906937.1	XP_006621874.1	XP_003696738.3	XP_043792658.1	XP_003251129.1	XP_048262005.1
OG0002870	XP_016906945.2	XP_006613671.1	XP_003696689.2	XP_043792722.1	XP_003251111.1	XP_003395852.2
OG0002871	XP_016906946.2	XP_006616551.1	XP_003696457.2	XP_043792961.1	XP_006564801.1	XP_003395538.1
OG0002872	XP_016906947.2	XP_006621842.1	XP_012345937.2	XP_043793281.1	XP_396895.4	XP_012164348.2
OG0002873	XP_028520910.1	XP_006609979.2	XP_086766641.1	XP_043784205.1	XP_026299182.1	XP_012168184.1
OG0002874	XP_061936712.1	XP_031371187.1	XP_086766604.1	XP_043784124.1	XP_001120371.1	XP_003398128.3
OG0002875	XP_061936896.1	XP_006609993.1	XP_031770945.2	XP_043784168.1	XP_001120664.2	XP_020720661.2
OG0002876	XP_016906960.1	XP_006609991.1	XP_031770963.1	XP_043784228.1	XP_393510.1	XP_003398447.1
OG0002877	XP_016907002.1	XP_006610155.1	XP_086761441.1	XP_043789632.1	NP_001229927.1	XP_012167391.1
OG0002878	XP_016906969.1	XP_006609984.1	XP_086766634.1	XP_043784142.1	XP_006572525.1	XP_012168166.1
OG0002879	XP_016906973.2	XP_006609996.1	XP_031770946.1	XP_043784128.1	XP_026299079.1	XP_048265750.1
OG0002880	XP_061940879.1	XP_006621794.1	XP_003694854.4	XP_043785939.1	XP_394029.5	XP_003400454.1
OG0002881	XP_061937639.1	XP_006624931.2	XP_086768675.1	XP_043801596.1	XP_001120854.3	XP_003398860.1
OG0002882	XP_016906986.1	XP_006625173.1	XP_003695353.1	XP_043801589.1	XP_026299659.1	XP_003398859.1
OG0002883	XP_016906987.1	XP_006625189.2	XP_012348314.1	XP_043801541.1	XP_006563377.2	XP_012168906.2
OG0002884	XP_016906988.1	XP_031370603.1	XP_031775439.2	XP_043801597.1	XP_001120946.2	XP_003398862.3
OG0002885	XP_016906991.1	XP_006624924.1	XP_003698101.1	XP_043801545.1	XP_396423.3	XP_003398863.1
OG0002886	XP_016906993.1	XP_006624923.1	XP_031775441.1	XP_043801548.1	XP_001120973.1	XP_012168826.1
OG0002887	XP_016907007.1	XP_006624929.1	XP_086768674.1	XP_043801573.1	XP_396294.3	XP_012168824.2
OG0002888	XP_016907008.2	XP_006625178.1	XP_003698108.1	XP_043801515.1	XP_624691.1	XP_003398853.1
OG0002889	XP_061930648.1	XP_031365489.1	XP_086760582.1	XP_043792981.1	XP_026296751.1	XP_048261854.1
OG0002890	XP_061942182.1	XP_006609327.1	XP_086773949.1	XP_043790707.1	XP_026301082.1	XP_048268721.1
OG0002891	XP_061937451.1	XP_006612404.1	XP_003698133.1	XP_043790141.1	XP_026299535.1	XP_003399153.1
OG0002892	XP_016907020.1	XP_006612415.1	XP_086768690.1	XP_043790153.1	XP_006572272.1	XP_003399156.1
OG0002893	XP_016907021.1	XP_006612413.1	XP_086768691.1	XP_043790054.1	XP_006572271.1	XP_012169427.1
OG0002894	XP_016907022.1	XP_006612408.1	XP_086768686.1	XP_043790052.1	XP_006572269.1	XP_012169423.2
OG0002895	XP_061937462.1	XP_006615795.1	XP_003698164.1	XP_043790154.1	XP_026299577.1	XP_020721256.1
OG0002896	XP_061931117.1	XP_006613758.1	XP_031774172.1	XP_043792695.1	XP_392379.2	XP_003401978.2
OG0002897	XP_061935357.1	XP_031371260.1	XP_031774795.1	XP_043789640.1	XP_006561821.2	XP_012166792.2
OG0002898	XP_016907029.1	XP_006618038.1	XP_003693421.2	XP_043789168.1	XP_396642.2	XP_003397284.1
OG0002899	XP_016907035.1	XP_006618034.1	XP_086763586.1	XP_043789162.1	XP_006557737.1	XP_048264037.1
OG0002900	XP_016907036.1	XP_031367469.1	XP_031773205.1	XP_043789167.1	XP_006557736.1	XP_048264168.1
OG0002901	XP_016907037.2	XP_006618036.1	XP_012343770.2	XP_043789156.1	XP_001122422.1	XP_012166503.1
OG0002902	XP_016907039.1	XP_006618039.1	XP_086763593.1	XP_043789163.1	XP_001122377.3	XP_048264100.1
